title	publisher	urls	eIssn	pIssn	subjects	society	empty
Behavioral Ecology	Oxford University Press 	http://beheco.oxfordjournals.org 	1465-7279 	1045-2249 	Ecology 	Unknown	
Biblical Theology Bulletin: Journal of Bible and Culture	SAGE Publications Ltd 	http://btb.sagepub.com 	1945-7596 	0146-1079 	Unknown	Biblical Theology Bulletin Inc 	
Biographical Memoirs of Fellows of the Royal Society	Royal Society Publishing 	http://rsbm.royalsocietypublishing.org 	1748-8494 	0080-4606 	Unknown	Royal Society Publishing 	
Bioinformatics	Oxford University Press 	http://bioinformatics.oxfordjournals.org 	1460-2059 	1367-4803 	Biochemistry Cell Biology Chemistry Developmental Biology Evolution Genetics Genomics Mathematics Medicine Microbiology Nutrition Physiology Plant Biology Respiratory Medicine Statistics Virology 	Unknown	
The Biological Bulletin	Marine Biological Laboratory, Woods Hole, MA 	http://www.biolbull.org 	1939-8697 	0006-3185 	Biochemistry Cell Biology Developmental Biology Ecology Endocrinology Evolution Genetics Genomics Immunology Neuroscience Pharmacology Plant Biology Population Biology 	Marine Biological Laboratory 	
Biological Research For Nursing	SAGE Publications 	http://brn.sagepub.com 	1552-4175 	1099-8004 	Unknown	Unknown	
Biology Letters	Royal Society Publishing 	http://rsbl.royalsocietypublishing.org 	1744-957X 	1744-9561 	Unknown	Royal Society Publishing 	
Biology of Reproduction	Society for the Study of Reproduction 	http://www.biolreprod.org 	1529-7268 	0006-3363 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics Hematology Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Society for the Study of Reproduction 	
Biology Open	The Company of Biologists 	http://bio.biologists.org 	2046-6390 	Unknown	Unknown	The Company of Biologists 	
Biometrika	Oxford University Press 	http://biomet.oxfordjournals.org 	1464-3510 	0006-3444 	Unknown	Biometrika Trust 	
Bioscience Horizons	Oxford University Press 	http://biohorizons.oxfordjournals.org 	1754-7431 	Unknown	Unknown	Oxford University Press 	
BioScope: South Asian Screen Studies	SAGE 	http://bio.sagepub.com 	0976-352X 	0974-9276 	Unknown	SAGE 	
Biostatistics	Oxford University Press 	http://biostatistics.oxfordjournals.org 	1468-4357 	1465-4644 	Mathematics Statistics 	Unknown	
Blood	American Society of Hematology 	http://bloodjournal.hematologylibrary.org 	1528-0020 	0006-4971 	Biochemistry Cardiovascular Medicine and Stroke Cell Biology Developmental Biology Genetics Genomics Hematology Immunology Infectious Diseases Medicine Microbiology Pathology Pediatrics Pharmacology Physiology Virology 	American Society of Hematology 	
BMJ	BMJ Publishing Group 	http://www.bmj.com 	1756-1833 	Unknown	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Atmospheric Science Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Clinical Medicine Complementary Medicine Critical Care / Intensive Care Dentistry and Oral Medicine Dermatology Developmental Biology Medicine in Developing Countries Earth Sciences Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Geriatric Medicine Hematology Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Occupational Health Oceanography Oncology Ophthalmology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Prison Medicine Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
BMJ Case Reports	BMJ Publishing Group Ltd 	http://casereports.bmj.com 	1757-790X 	Unknown	Unknown	Unknown	
BMJ Open	BMJ Group 	http://bmjopen.bmj.com 	Unknown	2044-6055 	Unknown	BMJ Group 	
BMJ Quality & Safety	BMJ Publishing Group Ltd 	http://qualitysafety.bmj.com 	2044-5423 	2044-5415 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Clinical Medicine Endocrinology Evidence Based Practice General Practice / Primary Care Medicine Neuroscience Nutrition Oncology Pediatrics Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Respiratory Medicine Sexual Medicine Sports and Exercise Medicine Statistics Surgery Women's Health 	BMJ Publishing Group Ltd 	
BMJ Supportive & Palliative Care	BMJ Group 	http://spcare.bmj.com 	2045-4368 	2045-435X 	Unknown	BMJ Group 	
Body & Society	SAGE Publications 	http://bod.sagepub.com 	1460-3632 	1357-034X 	Unknown	The TCS Centre, Nottingham Trent University 	
boundary 2	Duke University Press 	http://boundary2.dukejournals.org 	1527-2141 	0190-3659 	Unknown	Department of English, University of Pittsburgh 	
Brain	Oxford University Press 	http://brain.oxfordjournals.org 	1460-2156 	0006-8950 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
Briefings in Bioinformatics	Oxford University Press 	http://bib.oxfordjournals.org 	1477-4054 	1467-5463 	Unknown	Oxford University Press 	
Briefings in Functional Genomics	Oxford University Press 	http://bfg.oxfordjournals.org 	2041-2657 	2041-2649 	Unknown	Oxford University Press 	
The British Journal for the Philosophy of Science	Oxford University Press 	http://bjps.oxfordjournals.org 	1464-3537 	0007-0882 	Unknown	Unknown	
The British Journal of Aesthetics	Oxford University Press 	http://bjaesthetics.oxfordjournals.org 	1468-2842 	0007-0904 	Unknown	British Society of Aesthetics 	
British Journal of Anaesthesia	Oxford University Press 	http://bja.oxfordjournals.org 	1471-6771 	0007-0912 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Atmospheric Science Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Complementary Medicine Computer Science Critical Care / Intensive Care Dentistry and Oral Medicine Dermatology Developmental Biology Earth Sciences Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
British Journal of Criminology	Oxford University Press 	http://bjc.oxfordjournals.org 	1464-3529 	0007-0955 	Psychology Sociology 	Unknown	
The British Journal of Diabetes & Vascular Disease	SAGE 	http://dvd.sagepub.com 	1753-4305 	1474-6514 	Unknown	Unknown	
British Journal of Ophthalmology	BMJ Publishing Group Ltd 	http://bjo.bmj.com 	1468-2079 	0007-1161 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Critical Care / Intensive Care Dermatology Developmental Biology Medicine in Developing Countries Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Ophthalmology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	BMJ Publishing Group 	
British Journal of Pain	SAGE Publications 	http://bjp.sagepub.com 	2049-4645 	2049-4637 	Unknown	British Pain Society 	
The British Journal of Psychiatry	The Royal College of Psychiatrists 	http://bjp.rcpsych.org 	1472-1465 	0007-1250 	Medicine in Developing Countries Endocrinology Evidence Based Practice Genetics Genomics General Practice / Primary Care Geriatric Medicine Medicine Neuroscience Pathology Pediatrics Pharmacology Prison Medicine Psychiatry Psychology Rehabilitation Medicine Sexual Medicine Sociology Statistics Women's Health 	The Royal College of Psychiatrists 	
British Journal of Radiology	The British Institute of Radiology 	http://bjr.birjournals.org 	1748-880X 	0007-1285 	Clinical Medicine Medicine Radiology 	The British Institute of Radiology 	
British Journal of Social Work	Oxford University Press 	http://bjsw.oxfordjournals.org 	1468-263X 	0045-3102 	Sociology 	Unknown	
British Journal of Sports Medicine	     BMJ Publishing Group Ltd 	http://bjsm.bmj.com 	1473-0480 	0306-3674 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Complementary Medicine Dermatology Endocrinology Evidence Based Practice Gastroenterology Immunology Medicine Microbiology Neuroscience Nutrition Pathology Pediatrics Pharmacology Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Women's Health 	British Association of Sport and Exercise Medicine 	
British Journal of Visual Impairment	SAGE Publications 	http://jvi.sagepub.com 	1744-5809 	0264-6196 	Unknown	SAGE Publications 	
British Journalism Review	SAGE Publications 	http://bjr.sagepub.com 	1741-2668 	0956-4748 	Unknown	Unknown	
British Medical Bulletin	Oxford University Press 	http://bmb.oxfordjournals.org 	1471-8391 	0007-1420 	Clinical Medicine Medicine 	Unknown	
British Yearbook of International Law	Oxford University Press 	http://bybil.oxfordjournals.org 	2044-9437 	0068-2691 	Unknown	No 	
Building Services Engineering Research and Technology	SAGE Publications 	http://bse.sagepub.com 	1477-0849 	0143-6244 	Unknown	The Chartered Institute of Building Services Engineers 	
Bulletin de la Soci&#233;t&#233; G&#233;ologique de France	Société Géologique de France 	http://bsgf.geoscienceworld.org 	Unknown	0037-9409 	Unknown	Société Géologique de France 	
BMS: Bulletin of Sociological Methodology/Bulletin de M thodologie Sociologique	SAGE Publications 	http://bms.sagepub.com 	2070-2779 	0759-1063 	Unknown	AIMS 	
Bulletin of Science, Technology & Society	SAGE Publications 	http://bst.sagepub.com 	1552-4183 	0270-4676 	Unknown	National Association for Science, Technology & Society 	
Bulletin of the Atomic Scientists	SAGE Publications 	http://bos.sagepub.com 	1938-3282 	0096-3402 	Unknown	Bulletin of the Atomic Scientists 	
Bulletin of the London Mathematical Society	Oxford University Press 	http://blms.oxfordjournals.org 	1469-2120 	0024-6093 	Unknown	London Mathematical Society 	
Bulletin of the Seismological Society of America	Seismological Society of America 	http://www.bssaonline.org 	1943-3573 	0037-1106 	Unknown	Seismological Society of America 	
Business & Society	SAGE Publications 	http://bas.sagepub.com 	1552-4205 	0007-6503 	Unknown	International Association for Business and Society 	
Business Communication Quarterly	SAGE Publications 	http://bcq.sagepub.com 	1552-4191 	1080-5699 	Unknown	Association for Business Communication 	
Business Information Review	SAGE Publications 	http://bir.sagepub.com 	1741-6450 	0266-3821 	Unknown	Unknown	
Cambridge Journal of Economics	Oxford University Press 	http://cje.oxfordjournals.org 	1464-3545 	0309-166X 	Economic Science 	Unknown	
Cambridge Journal of Regions, Economy and Society	Oxford University Press 	http://cjres.oxfordjournals.org 	1752-1386 	1752-1378 	Unknown	Cambridge Political Economy Society 	
The Cambridge Quarterly	Oxford University Press 	http://camqtly.oxfordjournals.org 	1471-6836 	0008-199X 	Unknown	Unknown	
Camera Obscura: Feminism, Culture, and Media Studies	Duke University Press 	http://cameraobscura.dukejournals.org 	1529-1510 	0270-5346 	Unknown	Unknown	
Canadian Family Physician	The College of Family Physicians of Canada 	http://www.cfp.ca 	1715-5258 	0008-350X 	Unknown	The College of Family Physicians of Canada 	
Canadian Journal of School Psychology	SAGE Publications 	http://cjs.sagepub.com 	Unknown	0829-5735 	Unknown	Unknown	
Canadian Medical Association Journal	Canadian Medical Association 	http://www.cmaj.ca 	1488-2329 	0820-3946 	Clinical Medicine Medicine 	The editors of CMAJ / Les rédacteurs(trices) du JAMC 	
The Canadian Mineralogist	Mineralogical Association of Canada (MAC) 	http://www.canmin.org 	1499-1276 	0008-4476 	Unknown	Mineralogical Association of Canada /  Association minéralogique du Canada  	
Cancer Epidemiology Biomarkers & Prevention	American Association for Cancer Research, Inc. (AACR) 	http://cebp.aacrjournals.org 	1538-7755 	1055-9965 	Accident and Emergency Medicine Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Earth Sciences Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics Hematology Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Occupational Health Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychology Radiology Rehabilitation Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	AACR 	
