pIssn	eIssn	title	urls	subject	isStm	society	emptyField
1350-4126	1475-6811	PERSONAL RELATIONSHIPS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-6811	Psychology		International Association for Relationship Research	 
1932-8621	1932-863X	PERSONALITY AND MENTAL HEALTH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-863X	Psychology		Personality Disorders Institute	 
0031-5826	1744-6570	PERSONNEL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6570	Psychology			 
0031-5990	1744-6163	PERSPECTIVES IN PSYCHIATRIC CARE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6163	Medical, Veterinary and Health Sciences	STM Collection	Adult and Geropsychiatric-Mental Health Nurses(AGPN)	 
1538-6341	1931-2393	PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1931-2393	Medical, Veterinary and Health Sciences		Guttmacher Institute Inc	 
1465-6493	1468-2516	PERSPEKTIVEN DER WIRTSCHAFTSPOLITIK	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2516	Business, Economics, Finance and Accounting    		German Economic Association - Verein fuer Socialpolitik (VS)	 
1526-498X	1526-4998	PEST MANAGEMENT SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-4998	Chemistry   	STM Collection	Society of Chemical Industry	 
1531-2135	Print Only	PHARMACEUTICAL FORMULATION QUALITY	Print Only	Chemistry			 
1539-1604	1539-1612	PHARMACEUTICAL STATISTICS: THE JOURNAL OF APPLIED  STATISTICS IN THE PHARMACEUTICAL INDUSTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1539-1612	Mathematics and Statistics	STM Collection		 
1053-8569	1099-1557	PHARMACOEPIDEMIOLOGY AND DRUG SAFETY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1557	Medical, Veterinary and Health Sciences	STM Collection		 
0277-0008	1875-9114	PHARMACOTHERAPY, THE JOURNAL OF HUMAN PHARMACOLOGY AND DRUG THERAPY 	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1875-9114	TBC		American College of Clinical Pharmacy (ACCP)	 
0048-3664	1615-1003	PHARMAZIE IN UNSERER ZEIT (PHARMUZ)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-1003	Chemistry   	STM Collection		 
0031-806X	1467-9191	PHILOSOPHICAL FORUM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9191	Humanities and Social Sciences		Philosophical Forum Inc (PF)	 
0190-0536	1467-9205	PHILOSOPHICAL INVESTIGATIONS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9205	Humanities and Social Sciences			 
1533-6077	1758-2237	PHILOSOPHICAL ISSUES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-2237	Humanities and Social Sciences			 
1520-8583	1758-2245	PHILOSOPHICAL PERSPECTIVES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1520-8583	Humanities and Social Sciences			 
0031-8205	1933-1592	PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1933-1592	Humanities and Social Sciences		Philosophy and Phenonmenological Research Inc	 
0048-3915	1088-4963	PHILOSOPHY AND PUBLIC AFFAIRS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1088-4963	Humanities and Social Sciences			 
E-only title	1747-9991	PHILOSOPHY COMPASS (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-9991	Humanities and Social Sciences			 
0031-8655	1751-1097	PHOTOCHEMISTRY & PHOTOBIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-1097	Life Sciences	STM Collection	American Society for Photobiology	 
0905-4383	1600-0781	PHOTODERMATOLOGY, PHOTOIMMUNOLOGY & PHOTOMEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0781	Medical, Veterinary and Health Sciences	STM Collection	British Photodermatology Group	 
1322-0829	1440-1835	PHYCOLOGICAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1835	Life Sciences	STM Collection	Japanese Society of Phycology (JSPH)	 
1862-6254	1862-6270	PHYSICA STATUS SOLIDI - RAPID RESEARCH LETTERS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1862-6270	Physics and Astronomy			 
1862-6300	1862-6319	PHYSICA STATUS SOLIDI (A) APPLICATIONS AND MATERIALS SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1862-6319	Physics and Astronomy	STM Collection		 
0370-1972	1521-3951	PHYSICA STATUS SOLIDI (B) BASIC SOLID STATE  PHYSICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3951	Physics and Astronomy	STM Collection		 
1862-6351	1610-1642	PHYSICA STATUS SOLIDI (C) - CURRENT TOPICS IN SOLID STATE PHYSICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1610-1642a	Physics and Astronomy	STM Collection		 
0031-9252	1521-3943	PHYSIK IN UNSERER ZEIT (PHIUZ)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3943	Physics and Astronomy	STM Collection		 
1617-9439	1521-3722	PHYSIK JOURNAL	Not on WOL	Physics and Astronomy			 
0031-9317	1399-3054	PHYSIOLOGIA PLANTARUM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-3054	Life Sciences	STM Collection	Scandinavian Society for Plant Physiology	 
0307-6962	1365-3032	PHYSIOLOGICAL ENTOMOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-3032	Life Sciences	STM Collection	Royal Entomological Society	 
1358-2267	1471-2865	PHYSIOTHERAPY RESEARCH INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1471-2865	Medical, Veterinary and Health Sciences	STM Collection		 
0958-0344	1099-1565	PHYTOCHEMICAL ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1565	Chemistry   	STM Collection		 
0951-418X	1099-1573	PHYTOTHERAPY RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1573	Medical, Veterinary and Health Sciences	STM Collection		 
1755-1471	1755-148X	PIGMENT CELL & MELANOMA RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-148X	Life Sciences	STM Collection	International Federation of Pigment Cell Societies	 
1435-8603	1438-8677	PLANT BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1438-8677	Life Sciences	STM Collection	German Botanical Society	 
1467-7644	1467-7652	PLANT BIOTECHNOLOGY JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7652	Life Sciences	STM Collection	The Association of Applied Biologists	 
0179-9541	1439-0523	PLANT BREEDING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0523	Life Sciences	STM Collection		 
0140-7791	1365-3040	PLANT CELL & ENVIRONMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-3040	Life Sciences	STM Collection		 
0032-0862	1365-3059	PLANT PATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-3059	Life Sciences	STM Collection	British Society for Plant Pathology	 
0913-557X	1442-1984	PLANT SPECIES BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-1984	Life Sciences	STM Collection	Society for the Study of Species Biology	 
1612-8850	1612-8869	PLASMA PROCESSES AND POLYMERS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-8869	Polymers and Materials Science	STM Collection		 
0091-9578	1941-9635	PLASTICS ENGINEERING	NOT ON WOL	Polymers and Materials Science		Society of Plastics Engineers	 
1947-4644	1754-6095	POE STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1754-6095	Humanities and Social Sciences		Washington State University	 
1081-6976	1555-2934	POLAR: POLITICAL AND LEGAL ANTHROPOLOGY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1555-2934	Humanities and Social Sciences		American Anthropological Association	 
0190-292X	1541-0072	POLICY STUDIES JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-0072	Humanities and Social Sciences		Policy Studies Organization	 
2041-9058	2041-9066	POLITICAL INSIGHT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2041-9066	Humanities and Social Sciences		Political Studies Association	 
0162-895X	1467-9221	POLITICAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9221	Humanities and Social Sciences		International Society of Political Psychology	 
0032-3217	1467-9248	POLITICAL STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9248	Humanities and Social Sciences		Political Studies Association	 
1478-9299	1478-9302	POLITICAL STUDIES REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1478-9302	Humanities and Social Sciences		Political Studies Association	 
0263-3957	1467-9256	POLITICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9256	Humanities and Social Sciences		Political Studies Association	 
1555-5623	1747-1346	POLITICS & POLICY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-1346	Humanities and Social Sciences		Policy Studies Organization	 
0272-8397	1548-0569	POLYMER COMPOSITES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1548-0569	Polymers and Materials Science	STM Collection	Society of Plastics Engineers	 
0032-3888	1548-2634	POLYMER ENGINEERING & SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1548-2634	Polymers and Materials Science	STM Collection	Society of Plastics Engineers	 
0959-8103	1097-0126	POLYMER INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0126	Polymers and Materials Science	STM Collection	Society of Industrial Chemistry	 
1042-7147	1099-1581	POLYMERS FOR ADVANCED TECHNOLOGIES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1581	Polymers and Materials Science	STM Collection		 
0098-7921	1728-4457	POPULATION AND DEVELOPMENT REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1728-4457	Humanities and Social Sciences		Population Council	 
1544-8444	1544-8452	POPULATION, SPACE AND PLACE (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1544-8452	Humanities and Social Sciences			 
2047-2897	2047-2900	PRACTICAL DIABETES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1528-252X	Medical, Veterinary and Health Sciences	STM Collection		 
0197-3851	1097-0223	PRENATAL DIAGNOSIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0223	Life Sciences	STM Collection	International Society for Prenatal Diagnosis	 
0959-6682	1931-2253	PRESCRIBER	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1931-2253	Medical, Veterinary and Health Sciences	STM Collection		 
0360-4918	1741-5705	PRESIDENTIAL STUDIES QUARTERLY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-5705	Humanities and Social Sciences		Center for the Study of the Presidency	 
1617-7061	1617-7061	PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1617-7061	Engineering 	STM Collection		 
0044-7870	1550-8390	PROCEEDINGS OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1550-8390	Humanities and Social Sciences	STM Collection	American Society for Information Science & Technology	 
0066-7374	1467-9264	PROCEEDINGS OF THE ARISTOTELIAN SOCIETY (HARDBACK)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9264	Humanities and Social Sciences		Aristotelian Society	 
1066-8527	1547-5913	PROCESS SAFETY PROGRESS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5913	Chemistry   	STM Collection	American Institute of Chemical Engineers	 
1059-1478	1937-5956	PRODUCTION AND OPERATIONS MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1937-5956	Engineering 		Production and Operations Management Society	 
1367-7543	1931-227X	PROGRESS IN NEUROLOGY AND PSYCHIATRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1931-227X	Medical, Veterinary and Health Sciences	STM Collection		 
1062-7995	1099-159X	PROGRESS IN PHOTOVOLTAICS: RESEARCH & APPLICATIONS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-159X	Engineering 	STM Collection		 
8756-9728	1938-9507	PROJECT MANAGEMENT JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1938-9507	Business, Economics, Finance and Accounting    		Project Management Institute	 
0721-3115	1521-4087	PROPELLANTS, EXPLOSIVES, PYROTECHNICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4087	Chemistry   	STM Collection		 
0961-8368	1469-896X	PROTEIN SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1469-896X	Chemistry   		The Protein Society	 
0887-3585	1097-0134	PROTEINS: STRUCTURE, FUNCTION AND BIOINFORMATICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-9861	Chemistry   	STM Collection		 
1615-9853	1615-9861	PROTEOMICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-9861	Life Sciences	STM Collection		 
1862-8346	1862-8354	PROTEOMICS - CLINICAL APPLICATIONS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1862-8354	Life Sciences			 
2046-0252	2046-0260	PSYCH JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2046-0260	Medical, Veterinary and Health Sciences		Institute of Psychology,Chinese Academy of Sciences (IPCAS)	 
1323-1316	1440-1819	PSYCHIATRY AND CLINICAL NEUROSCIENCES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1819	Medical, Veterinary and Health Sciences	STM Collection	Japanese Society of Psychiatry & Neurology	 
1346-3500	1479-8301	PSYCHOGERIATRICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1479-8301	Medical, Veterinary and Health Sciences	STM Collection	Japanese Psychogeriatrics Society (JPSG)	 
0742-6046	1520-6793	PSYCHOLOGY & MARKETING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6793	Business, Economics, Finance and Accounting    			 
1476-0835	2044-8341	PSYCHOLOGY AND PSYCHOTHERAPY: THEORY, RESEARCH AND  PRACTICE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8341	Psychology		British Psychological Society (BPS)	 
0033-3085	1520-6807	PSYCHOLOGY IN THE SCHOOLS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6807	Humanities and Social Sciences			 
1057-9249	1099-1611	PSYCHO-ONCOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1611	Medical, Veterinary and Health Sciences	STM Collection		 
0048-5772	1469-8986	PSYCHOPHYSIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-8986	Psychology		Society for Psychophysiological Research	 
1476-9263	1556-9195	PSYCHOTHERAPY AND POLITICS INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-9195	Psychology			 
0033-3298	1467-9299	PUBLIC ADMINISTRATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9299	Business, Economics, Finance and Accounting    			 
0271-2075	1099-162X	PUBLIC ADMINISTRATION & DEVELOPMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-162X	Humanities and Social Sciences			 
0033-3352	1540-6210	PUBLIC ADMINISTRATION REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6210	Business, Economics, Finance and Accounting    		American Society for Public Administration	 
0275-1100	1540-5850	PUBLIC BUDGETING AND FINANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5850	Business, Economics, Finance and Accounting    		Public Financial Publications, Inc.	 
0737-1209	1525-1446	PUBLIC HEALTH NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1525-1446	Medical, Veterinary and Health Sciences	STM Collection		 
1744-5396	1744-540X	PUBLIC POLICY RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-540X	Humanities and Social Sciences		Institute of Public Policy Research	 
0748-8017	1099-1638	QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1638	Engineering 	STM Collection		 
1757-8361	1757-837X	QUALITY ASSURANCE AND SAFETY OF CROPS & FOOD	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1757-837X	Earth and Environmental Science		The International Association for Cereal Science and Technology (IACST)	 
1759-7323	1759-7331	QUANTITATIVE ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-7331	Humanities and Social Sciences		Econometric Society	 
0033-6807	1467-9310	R & D MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9310	Business, Economics, Finance and Accounting    		R & D Management Society	 
1042-9832	1098-2418	RANDOM STRUCTURES AND ALGORITHMS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2418	Mathematics and Statistics	STM Collection		 
0951-4198	1097-0231	RAPID COMMUNICATIONS IN MASS SPECTROMETRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0231	Chemistry   	STM Collection		 
0034-0006	1467-9329	RATIO	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9329	Humanities and Social Sciences			 
0952-1917	1467-9337	RATIO JURIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9337	Law and Criminology			 
0034-0553	1936-2722	READING RESEARCH QUARTERLY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1936-2722 	Humanities and Social Sciences		International Reading Association (IRA)	 
1080-8620	1540-6229	REAL ESTATE ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6229	Business, Economics, Finance and Accounting    		American Real Estate and Urban Economics Association	 
2155-644X	2155-6458	RECRUITING & RETAINING ADULT LEARNERS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1943-7501	Education			 
E-only title	1757-7802	REGIONAL SCIENCE POLICY AND PRACTICE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1757-7802	Humanities and Social Sciences		Regional Science Association International	 
1748-5983	1748-5991	REGULATION & GOVERNANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-5991	Humanities and Social Sciences			 
0278-4807	2048-7940	REHABILITATION NURSING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2048-7940			Association of Rehabilitation Nurses (ARN)	 
E-only title	1749-8171	RELIGION COMPASS (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-8171	Humanities and Social Sciences			 
0319-485X	1748-0922	RELIGIOUS STUDIES REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-0922	Humanities and Social Sciences		Rice University, Department of Religious Studies	 
1051-5658	1520-6831	REMEDIATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6831	Earth and Environmental Science			 
0269-1213	1477-4658	RENAISSANCE STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1477-4658	Humanities and Social Sciences		Society for Renaissance Studies	 
0936-6768	1439-0531	REPRODUCTION IN DOMESTIC ANIMALS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0531	Medical, Veterinary and Health Sciences	STM Collection	European Society for Domestic Animal Reproduction	 
0160-6891	1098-240X	RESEARCH IN NURSING & HEALTH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-240X	Medical, Veterinary and Health Sciences	STM Collection		 
1759-2879	1759-2887	RESEARCH SYNTHESIS METHODS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1759-2887	Humanities and Social Sciences		Society for Research Synthesis Methodology	 
1344-1698	1751-3928	RESOURCE GEOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-3928	Earth and Environmental Science	STM Collection	Society of Resource Geology	 
1323-7799	1440-1843	RESPIROLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1843	Medical, Veterinary and Health Sciences	STM Collection	Asian Pacific Society of Respirology	 
1061-2971	1526-100X	RESTORATION ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1526-100X	Life Sciences	STM Collection	Society for Ecological Restoration	 
1363-6669	1467-9361	REVIEW OF DEVELOPMENT ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9361	Humanities and Social Sciences			 
0962-8797	1467-9388	REVIEW OF EUROPEAN COMMUNITY & INTERNATIONAL ENVIROMENTAL LAW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9388	Law and Criminology			 
0034-6586	1475-4991	REVIEW OF INCOME AND WEALTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-4991	Business, Economics, Finance and Accounting    		International Association for Research in Income and Wealth	 
0965-7576	1467-9396	REVIEW OF INTERNATIONAL ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9396	Business, Economics, Finance and Accounting    		International Economics and Finance Society	 
1541-132X	1541-1338	REVIEW OF POLICY RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-1338	Humanities and Social Sciences		Policy Studies Organization	 
0917-0553	1467-940X	REVIEW OF URBAN & REGIONAL DEVELOPMENT STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-940X	Humanities and Social Sciences		Applied Regional Science Conference	 
1753-5123	1753-5131	REVIEWS IN AQUACULTURE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-5131	Earth and Environmental Science			 
1052-9276	1099-1654	REVIEWS IN MEDICAL VIROLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1654	Medical, Veterinary and Health Sciences	STM Collection		 
1350-7303	1467-9418	REVIEWS IN RELIGION & THEOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9418	Humanities and Social Sciences			 
0250-605X	1752-1734	REVISTA INTERNACIONAL DE SEGURIDAD SOCIAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-1734	Humanities and Social Sciences		International Social Security Association	 
0378-5548	1564-9148	REVISTA INTERNACIONAL DEL TRABAJO	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1564-9148	Business, Economics, Finance and Accounting    		International Labour Organization	 
0379-0312	1752-1718	REVUE INTERNATIONALE DE SECURITE SOCIALE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-1718	Humanities and Social Sciences		International Social Security Association	 
0378-5599	1564-9121	REVUE INTERNATIONALE DU TRAVAIL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1564-9121	Business, Economics, Finance and Accounting    		International Labour Organization	 
0272-4332	1539-6924	RISK ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1539-6924	Business, Economics, Finance and Accounting    		Society for Risk Analysis	 
1098-1616	1540-6296	RISK MANAGEMENT AND INSURANCE REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6296	Business, Economics, Finance and Accounting    		American Risk and Insurance Association	 
1535-1459	1535-1467	RIVER RESEARCH AND APPLICATIONS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1535-1467	Earth and Environmental Science	STM Collection		 
0036-0112	1549-0831	RURAL SOCIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1549-0831	Humanities and Social Sciences		Rural Sociological Society (RSS)	 
0283-9318	1471-6712	SCANDINAVIAN JOURNAL OF CARING SCIENCES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-6712	Medical, Veterinary and Health Sciences	STM Collection	Nordic College of Caring Science	 
0300-9475	1365-3083	SCANDINAVIAN JOURNAL OF IMMUNOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-3083	Medical, Veterinary and Health Sciences	STM Collection	Scandanavian Society of Immunology (SSI)	 
0905-7188	1600-0838	SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0838	Medical, Veterinary and Health Sciences	STM Collection	Scandinavian Foundation of Medicine and Sceince in Sports	 
0036-5564	1467-9450	SCANDINAVIAN JOURNAL OF PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9450	Psychology		Scandanavian Psychological Associations	 
0303-6898	1467-9469	SCANDINAVIAN JOURNAL OF STATISTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9469	Mathematics and Statistics	STM Collection	Editorial Board	 
0080-6757	1467-9477	SCANDINAVIAN POLITICAL STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9477	Humanities and Social Sciences		Nordic Political Science Association	 
0161-0457	1932-8745	SCANNING - THE JOURNAL OF SCANNING MICROSCOPIES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-8745	Medical, Veterinary and Health Sciences	STM Collection		 
0036-6803	1949-8594	SCHOOL SCIENCE AND MATHEMATICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1949-8594	Humanities and Social Sciences		School Science and Mathematics Association (SSMA)	 
0036-8326	1098-237X	SCIENCE EDUCATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-237X	Education	STM Collection		 
0036-8423	1943-0930	SCIENCE NEWS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1943-0930	Humanities and Social Sciences		Society for Science and the Public	 
0036-9292	1467-9485	SCOTTISH JOURNAL OF POLITICAL ECONOMY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9485	Business, Economics, Finance and Accounting    		Scottish Economic Society	 
1939-0114	1939-0122	SECURITY AND COMMUNICATION NETWORKS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1939-0122	Engineering 			 
0037-0746	1365-3091	SEDIMENTOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-3091	Earth and Environmental Science	STM Collection	International Association of Sedimentologists	 
0894-0959	1525-139X	SEMINARS IN DIALYSIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1525-139X	Medical, Veterinary and Health Sciences	STM Collection	American Society of Diagnostic and Interventional Nephrology	 
1758-5732	1758-5740	SHOULDER AND ELBOW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-5740	Medical, Veterinary and Health Sciences		The British Elbow and Shoulder Society	 
1740-9705	1740-9713	SIGNIFICANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-9713	Mathematics and Statistics	STM Collection	Royal Statistical Society	 
0129-7619	1467-9493	SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9493	Humanities and Social Sciences			 
0909-752X	1600-0846	SKIN RESEARCH AND TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0846	Medical, Veterinary and Health Sciences	STM Collection	International Society for Bioengineering and the Skin	 
1446-9235	1479-8425	SLEEP AND BIOLOGICAL RHYTHMS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1479-8425	Medical, Veterinary and Health Sciences	STM Collection	Japanese Society of Sleep Research	 
