PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA445452	Psychomotor Agitation	"Agitated","Agitated behavior","Agitated behaviour","Agitation","Agitation, Psychomotor","Akathisia","Excessive overactivity","Excessive overactivity, NOS","Excitement, Psychomotor","Feeling agitated","Hyperactivity, Psychomotor","Increased purposeless goalless activity, NOS","Motor restlessness","Psychomotor Excitement","Psychomotor Hyperactivity","Psychomotor Restlessness","Psychomotor agitation","Psychomotor agitation, NOS","Restless","Restlessness","Restlessness behavior","Restlessness, Psychomotor",		MeSH:D011595(Psychomotor Agitation),MedDRA:10001495(Agitated),NDFRT:N0000002527(Psychomotor Agitation [Disease/Finding]),SnoMedCT:162221009(Restlessness),SnoMedCT:24199005(Feeling agitated),SnoMedCT:47295007(Psychomotor agitation),UMLS:C0085631(C0085631)
PA445454	Psychophysiologic Disorders	"Psychophysiologic Disorder","Psychophysiologic disorder, NOS","Psychophysiological Disorder","Psychophysiological Disorders","Psychosomatic Disorder","Psychosomatic Disorders","Psychosomatic disorder",		MeSH:D011602(Psychophysiologic Disorders),MedDRA:10049587(Psychosomatic disease),NDFRT:N0000002529(Psychophysiologic Disorders [Disease/Finding]),SnoMedCT:191985004(Psychosomatic disorder NOS),SnoMedCT:37057007(Psychophysiologic disorder),UMLS:C0033931(C0033931)
PA445457	Pterygium	"Pterygium NOS","Pterygium, NOS","Pterygiums","Unspecified pterygium",		MeSH:D011625(Pterygium),MedDRA:10037263(Pterygium),NDFRT:N0000002533(Pterygium [Disease/Finding]),SnoMedCT:193879003(Unspecified pterygium),SnoMedCT:193884009(Pterygium NOS),SnoMedCT:77489003(Pterygium),UMLS:C0033998(C0033998)
PA445458	Puberty, Delayed	"Delay in sexual development AND/OR puberty","Delayed Puberty","Delayed puberty","Delayed sexual development",		MeSH:D011628(Puberty, Delayed),MedDRA:10012205(Delayed puberty),NDFRT:N0000002534(Puberty, Delayed [Disease/Finding]),SnoMedCT:123526007(Delay in sexual development AND/OR puberty),SnoMedCT:400003000(Delayed puberty),UMLS:C0034012(C0034012)
PA445459	Puberty, Precocious	"Precocious Puberty","Precocious puberty","Sexual precocity",		MeSH:D011629(Puberty, Precocious),MedDRA:10000359(Accelerated sexual maturation),NDFRT:N0000002535(Puberty, Precocious [Disease/Finding]),SnoMedCT:123527003(Precocious sexual development),SnoMedCT:400179000(Precocious puberty),UMLS:C0034013(C0034013)
PA445464	Pulmonary Edema	"Edema, Pulmonary","Edemas, Pulmonary","Lung, Wet","Lungs, Wet","Pulmonary Edemas","Pulmonary edema","Pulmonary edema NOS","Pulmonary edema, NOS","Pulmonary oedema","Pulmonary oedema NOS","Wet Lung","Wet Lungs",		MeSH:D011654(Pulmonary Edema),MedDRA:10014233(Edema lung),NDFRT:N0000002540(Pulmonary Edema [Disease/Finding]),SnoMedCT:19242006(Pulmonary edema),SnoMedCT:196119001(Pulmonary edema NOS),UMLS:C0034063(C0034063)
PA445465	Pulmonary Embolism	"Embolism, Pulmonary","Embolisms, Pulmonary","Infarction, Pulmonary","Infarctions, Pulmonary","Pulmonary Embolisms","Pulmonary Infarction","Pulmonary Infarctions","Pulmonary Thromboembolism","Pulmonary Thromboembolisms","Thromboembolism, Pulmonary","Thromboembolisms, Pulmonary",		MeSH:D011655(Pulmonary Embolism),MedDRA:10050071(Embolism lung),NDFRT:N0000002541(Pulmonary Embolism [Disease/Finding]),SnoMedCT:59282003(Pulmonary embolism),UMLS:C0034065(C0034065)
PA445466	Pulmonary Emphysema	"Emphysema of lung, NOS","Emphysema, Pulmonary","Emphysemas, Pulmonary","Pulmonary Emphysemas","Pulmonary emphysema",		MeSH:D011656(Pulmonary Emphysema),MedDRA:10014561(Emphysema),NDFRT:N0000002542(Pulmonary Emphysema [Disease/Finding]),SnoMedCT:87433001(Pulmonary emphysema),UMLS:C0034067(C0034067)
PA445467	Pulmonary Eosinophilia	"Andrews syndrome","EP - Eosinophilic pneumonia","Eosinophilia, Pulmonary","Eosinophilia, Tropical","Eosinophilias, Pulmonary","Eosinophilias, Tropical","Eosinophilic Pneumonia","Eosinophilic Pneumonias","Eosinophilic pneumonia","Loeffler Syndrome","PIE - Pulmonary infiltrates with eosinophilia","Pneumonia, Eosinophilic","Pneumonias, Eosinophilic","Pulmonary Eosinophilias","Pulmonary eosinophilia","Pulmonary eosinophilia NOS","Pulmonary infiltrates with eosinophilia","Syndrome, Loeffler","Tropical Eosinophilia","Tropical Eosinophilias",		MeSH:D011657(Pulmonary Eosinophilia),MedDRA:10037382(Pulmonary eosinophilia),NDFRT:N0000002543(Pulmonary Eosinophilia [Disease/Finding]),SnoMedCT:196147002(Pulmonary eosinophilia NOS),SnoMedCT:367542003(Pulmonary eosinophilia),UMLS:C0034068(C0034068)
PA445468	Pulmonary Fibrosis	"Alveolitides, Fibrosing","Alveolitis, Fibrosing","Fibroses, Pulmonary","Fibrosing Alveolitides","Fibrosing Alveolitis","Fibrosis of lung","Fibrosis of lung, NOS","Fibrosis, Pulmonary","Hamman Rich Syndrome","Hamman-Rich Syndrome","Pulmonary Fibroses","Syndrome, Hamman-Rich",		MeSH:D011658(Pulmonary Fibrosis),MedDRA:10016649(Fibrosis lung),NDFRT:N0000002544(Pulmonary Fibrosis [Disease/Finding]),SnoMedCT:51615001(Fibrosis of lung),UMLS:C0034069(C0034069)
PA445469	Pulmonary Heart Disease	"Cor Pulmonale","Disease, Pulmonary Heart","Diseases, Pulmonary Heart","Heart Disease, Pulmonary","Heart Diseases, Pulmonary","Pulmonary Heart Diseases","Pulmonary heart disease NOS",		MeSH:D011660(Pulmonary Heart Disease),MedDRA:10010968(Cor pulmonale),NDFRT:N0000002545(Pulmonary Heart Disease [Disease/Finding]),SnoMedCT:274096000(Pulmonary heart disease),SnoMedCT:286952009(Pulmonary heart disease NOS),SnoMedCT:83291003(Cor pulmonale),UMLS:C0034072(C0034072)
PA445471	Pulmonary Valve Insufficiency	"Incompetence, Pulmonary","Incompetence, Pulmonary Valve","Insufficiency, Pulmonary","Insufficiency, Pulmonary Valve","PVR - Pulmonary regurgitation","Pulmonary Incompetence","Pulmonary Insufficiency","Pulmonary Regurgitation","Pulmonary Valve Incompetence","Pulmonary Valve Regurgitation","Pulmonary regurgitation, non-rheumatic","Pulmonary valve incompetence, NOS","Pulmonary valve regurgitation","Pulmonic valve incompetence","Pulmonic valve insufficiency, NOS","Pulmonic valve regurgitation","Regurgitation, Pulmonary","Regurgitation, Pulmonary Valve","Valve Incompetence, Pulmonary","Valve Insufficiency, Pulmonary","Valve Regurgitation, Pulmonary",		MeSH:D011665(Pulmonary Valve Insufficiency),MedDRA:10037408(Pulmonary incompetence),NDFRT:N0000002547(Pulmonary Valve Insufficiency [Disease/Finding]),SnoMedCT:194995005(Pulmonary incompetence, non-rheumatic),SnoMedCT:91434003(Pulmonic valve regurgitation),UMLS:C0034088(C0034088)
PA445472	Pulmonary Valve Stenosis	"PS - Pulmonary valve stenosis","Pulmonary Stenoses","Pulmonary Stenosis","Pulmonary Valve Stenoses","Pulmonary stenosis","Pulmonic stenosis","Stenoses, Pulmonary","Stenoses, Pulmonary Valve","Stenosis, Pulmonary","Stenosis, Pulmonary Valve",		MeSH:D011666(Pulmonary Valve Stenosis),MedDRA:10037450(Pulmonary valve stenosis),NDFRT:N0000002548(Pulmonary Valve Stenosis [Disease/Finding]),SnoMedCT:56786000(Pulmonic valve stenosis),UMLS:C0034089(C0034089)
PA445476	Purine-Pyrimidine Metabolism, Inborn Errors	"Purine Pyrimidine Metabolism, Inborn Errors",		MeSH:D011686(Purine-Pyrimidine Metabolism, Inborn Errors),MedDRA:10037546(Purine and pyrimidine metabolism disorders),NDFRT:N0000002552(Purine-Pyrimidine Metabolism, Inborn Errors [Disease/Finding]),SnoMedCT:238006008(Disorder of purine and pyrimidine metabolism),UMLS:C0034139(C0034139)
PA445477	Purpura	"Disorder characterised by purpura","Disorder characterized by purpura","Peliosis","Peliosis, NOS","Petechiae","Purpura, NOS","Purpuras",		MeSH:D011693(Purpura),MedDRA:10034228(Peliosis),NDFRT:N0000002553(Purpura [Disease/Finding]),SnoMedCT:12393003(Purpura),SnoMedCT:387778001(Purpuric disorder),SnoMedCT:423902002(Purpura),UMLS:C0034150(C0034150)
PA445481	Purpura, Thrombotic Thrombocytopenic	"Disease, Moschkowitz","Moschcowitz syndrome","Moschkowitz Disease","Purpura, Thrombotic Thrombopenic","Thrombocytopenic Purpura, Thrombotic","Thrombopenic Purpura, Thrombotic","Thrombotic Thrombocytopenic Purpura","Thrombotic Thrombopenic Purpura","Thrombotic microangiopathy",		MeSH:D011697(Purpura, Thrombotic Thrombocytopenic),MedDRA:10037562(Purpura thrombopaenic thrombotic),NDFRT:N0000002557(Purpura, Thrombotic Thrombocytopenic [Disease/Finding]),SnoMedCT:126729006(Thrombotic microangiopathy),SnoMedCT:195360005(Thrombotic microangiopathy NOS),SnoMedCT:78129009(Thrombotic thrombocytopenic purpura),UMLS:C0034155(C0034155)
PA445483	Pyelonephritis	"Pyelonephritides","Pyonephroses","Pyonephrosis","Unspecified pyelonephritis NOS",		MeSH:D011704(Pyelonephritis),MedDRA:10037596(Pyelonephritis),NDFRT:N0000002559(Pyelonephritis [Disease/Finding]),SnoMedCT:197779009(Pyelonephritis unspecified),SnoMedCT:197784003(Unspecified pyelonephritis NOS),SnoMedCT:45816000(Pyelonephritis),UMLS:C0034186(C0034186)
PA445485	Pyloric Stenosis	"Pyloric Stenoses","Pyloric stenosis","Stenoses, Pyloric","Stenosis, Pyloric",		MeSH:D011707(Pyloric Stenosis),MedDRA:10037621(Pyloric stenosis),NDFRT:N0000002561(Pyloric Stenosis [Disease/Finding]),SnoMedCT:367403001(Pyloric stenosis),UMLS:C0034194(C0034194)
PA445486	Pyoderma	"Pyoderma NOS","Pyodermas","Pyodermia","Septic dermatitis","Suppurative dermatitis",		MeSH:D011711(Pyoderma),MedDRA:10012486(Dermatitis pyogenic),NDFRT:N0000002562(Pyoderma [Disease/Finding]),SnoMedCT:200719000(Pyoderma NOS),SnoMedCT:70759006(Pyoderma),UMLS:C0034212(C0034212)
PA445489	Quadriplegia	"Flaccid Quadriplegia","Flaccid Quadriplegias","Flaccid Tetraplegia","Flaccid Tetraplegias","Locked In Syndrome","Locked-In Syndrome","Locked-In Syndromes","Paralysis, Spinal, Quadriplegic","Quadripareses","Quadriparesis","Quadriplegia, Flaccid","Quadriplegia, Spastic","Quadriplegias","Quadriplegias, Flaccid","Quadriplegias, Spastic","Spastic Quadriplegia","Spastic Quadriplegias","Spastic Tetraplegia","Spastic Tetraplegias","Syndrome, Locked-In","Syndromes, Locked-In","Tetraplegia","Tetraplegia, Flaccid","Tetraplegia, Spastic","Tetraplegias","Tetraplegias, Flaccid","Tetraplegias, Spastic",		MeSH:D011782(Quadriplegia),MedDRA:10037714(Quadriplegia),NDFRT:N0000002566(Quadriplegia [Disease/Finding]),SnoMedCT:11538006(Quadriplegia),UMLS:C0034372(C0034372)
PA445491	Radiation Injuries	"Effects of radiation","Effects of radiation, NOS","Injuries, Radiation","Injury due to exposure to ionizing radiation","Injury, Radiation","Radiation Injury","Radiation Sickness","Radiation Sicknesses","Radiation Syndrome","Radiation Syndromes","Radiation injury","Sickness, Radiation","Sicknesses, Radiation","Syndrome, Radiation","Syndromes, Radiation",		MeSH:D011832(Radiation Injuries),MedDRA:10022124(Injury radiation),NDFRT:N0000002568(Radiation Injuries [Disease/Finding]),SnoMedCT:24803000(Radiation injury),SnoMedCT:81018009(Radiation injury),UMLS:C0034530(C0034530)
PA445494	Radiculopathy	"Avulsion, Nerve Root","Avulsions, Nerve Root","Cervical Radiculopathies","Cervical Radiculopathy","Compression, Nerve Root","Compressions, Nerve Root","Inflammation, Nerve Root","Nerve Root Avulsion","Nerve Root Avulsions","Nerve Root Compression","Nerve Root Compressions","Nerve Root Disorder","Nerve Root Disorders","Nerve Root Inflammation","Nerve Root Inflammations","Radiculitides","Radiculitis","Radiculopathies","Radiculopathies, Cervical","Radiculopathy, Cervical",		MeSH:D011843(Radiculopathy),MedDRA:10037779(Radiculopathy),NDFRT:N0000002571(Radiculopathy [Disease/Finding]),UMLS:C0700594(Radiculopathy)
PA445499	Raynaud Disease	"CREST - Calcinosis, Raynaud's phenomenon, esophageal dysfunction, sclerodactyly, telangiectasia","CREST - Calcinosis, Raynaud's phenomenon, oesophageal dysfunction, sclerodactyly, telangiectasia","CREST - Calcinosis, Raynaud's phenomenon, sclerodactyly, esophageal involvement, telangiectasia syndrome","CREST - Calcinosis, Raynaud's phenomenon, sclerodactyly, oesophageal involvement, telangiectasia syndrome","CREST Syndrome","CREST syndrome","Calcinosis cutis, Raynaud's, esophageal dysfunction, sclerodactyly and telangiectasia","Calcinosis cutis, Raynaud's, oesophageal dysfunction, sclerodactyly AND telangiectasia","Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome","Calcinosis, Raynaud's phenomenon, oesophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome","Disease, Raynaud","Disease, Raynaud's","Raynaud Disease","Raynaud's Disease","Raynaud's disease","Raynauds Disease",		MeSH:D011928(Raynaud Disease),MeSH:D017675(CREST Syndrome),MedDRA:10037910(Raynaud's disease),NDFRT:N0000002576(Raynaud Disease [Disease/Finding]),SnoMedCT:195295006(Raynaud's disease),SnoMedCT:195297003(Raynaud's syndrome NOS),SnoMedCT:31848007(CREST syndrome),UMLS:C0034734(C0034734),UMLS:C0206138(C0206138)
PA445500	Hyperacusis	"Auditory Hyperesthesia","Auditory Hyperesthesias","Disturbance, Loudness Perception","Disturbances, Loudness Perception","Hyperacuses","Hyperacusia","Hyperacusias","Hyperesthesia, Auditory","Hyperesthesias, Auditory","Loudness Perception Disturbance","Loudness Perception Disturbances","Loudness Recruitment","Loudness Recruitments","Loudness recruitment","Oversensitive hearing","Perception Disturbance, Loudness","Perception Disturbances, Loudness","Phonophobia","Phonophobias","Recruitment, Loudness",		MeSH:D012001(Hyperacusis),MedDRA:10003786(Auditory hyperacuity),NDFRT:N0000002577(Hyperacusis [Disease/Finding]),SnoMedCT:194399009(Loudness recruitment),SnoMedCT:25289003(Hyperacusis),UMLS:C0034880(C0034880)
PA445503	Rectal Neoplasms	"Cancer of Rectum","Cancer of the Rectum","Cancer, Rectal","Cancer, Rectum","Cancers, Rectal","Cancers, Rectum","Neoplasm, Rectal","Neoplasm, Rectum","Neoplasms, Rectal","Neoplasms, Rectum","Rectal Cancer","Rectal Cancers","Rectal Neoplasm","Rectum Cancer","Rectum Cancers","Rectum Neoplasm","Rectum Neoplasms","Tumor of rectum","Tumour of rectum",		MeSH:D012004(Rectal Neoplasms),MedDRA:10062099(Rectal neoplasm),NDFRT:N0000002580(Rectal Neoplasms [Disease/Finding]),SnoMedCT:126847008(Neoplasm of rectum),UMLS:C0034885(C0034885)
PA445504	Rectal Prolapse	"Anus Prolapse","Anus Prolapses","Prolapse, Anus","Prolapse, Rectal","Prolapses, Anus","Prolapses, Rectal","RP - Rectal prolapse","Rectal Prolapses",		MeSH:D012005(Rectal Prolapse),MedDRA:10038077(Rectal prolapse),NDFRT:N0000002581(Rectal Prolapse [Disease/Finding]),SnoMedCT:197215006(Rectal prolapse NOS),SnoMedCT:57773001(Rectal prolapse),UMLS:C0034888(C0034888)
PA445506	Recurrence	"Recrudescence","Recrudescences","Recurrences","Recurrent","Relapse","Relapses",		MeSH:D012008(Recurrence),NDFRT:N0000002583(Recurrence [Disease/Finding]),SnoMedCT:246455001(Recurrence),SnoMedCT:255227004(Recurrent),UMLS:C0034897(C0034897)
PA445509	Reflex, Abnormal	"Abnormal Deep Tendon Reflex","Abnormal Reflex","Abnormal Reflexes","Absent Reflex","Absent Reflices","Bulbocavernosus Reflex, Decreased","Bulbocavernosus Reflices, Decreased","Bulbocavernousus Reflex Absent","Decreased Bulbocavernosus Reflex","Decreased Bulbocavernosus Reflices","Decreased Reflex","Decreased Reflices","Hoffman's Reflex","Hyperreflexia","Hyporeflexia","Palmo Mental Reflex","Palmo-Mental Reflex","Palmo-Mental Reflices","Pendular Reflex","Pendular Reflices","Reflex Absent, Bulbocavernousus","Reflex, Absent","Reflex, Acoustic, Abnormal","Reflex, Anal, Absent","Reflex, Anal, Decreased","Reflex, Ankle, Abnormal","Reflex, Ankle, Absent","Reflex, Ankle, Decreased","Reflex, Biceps, Abnormal","Reflex, Biceps, Absent","Reflex, Biceps, Decreased","Reflex, Corneal, Absent","Reflex, Corneal, Decreased","Reflex, Decreased","Reflex, Decreased Bulbocavernosus","Reflex, Deep Tendon, Abnormal","Reflex, Deep Tendon, Absent","Reflex, Gag, Absent","Reflex, Gag, Decreased","Reflex, Hoffman's","Reflex, Knee, Abnormal","Reflex, Knee, Decreased","Reflex, Moro, Asymmetric","Reflex, Palmo-Mental","Reflex, Pendular","Reflex, Triceps, Abnormal","Reflex, Triceps, Absent","Reflex, Triceps, Decreased","Reflexes, Abnormal","Reflices, Absent","Reflices, Decreased","Reflices, Decreased Bulbocavernosus","Reflices, Palmo-Mental","Reflices, Pendular","[D]Abnormal reflex, unspecified",		MeSH:D012021(Reflex, Abnormal),MedDRA:10000170(Abnormal reflex),NDFRT:N0000002586(Reflex, Abnormal [Disease/Finding]),SnoMedCT:271104007([D]Abnormal reflex, unspecified),SnoMedCT:46670006(Abnormal reflex),UMLS:C0034933(C0034933)
PA445510	Refractive Errors	"Ametropia","Ametropias","Disorder of refraction","Disorder of refraction, NOS","Disorder, Refractive","Disorders, Refractive","Error, Refractive","Errors, Refractive","Refractive Disorder","Refractive Disorders","Refractive Error","Refractive error, NOS",		MeSH:D012030(Refractive Errors),MedDRA:10013262(Disorder refraction),NDFRT:N0000002587(Refractive Errors [Disease/Finding]),SnoMedCT:39021009(Disorder of refraction),UMLS:C0034951(C0034951)
PA445511	Refsum Disease	"HMSN IV","HMSN Type IV","HSMN IV","Hemeralopia Heredoataxia Polyneuritiformi","Hemeralopia Heredoataxia Polyneuritiformis","Hereditary Type IV Motor and Sensory Neuropathy","Hereditary motor and sensory neuropathy type IV","Hereditary motor and sensory neuropathy, type IV","Hereditary sensory-motor neuropathy, type IV","Hereditary-Motor and Sensory-Neuropathy Type IV","Heredoataxia Polyneuritiformi, Hemeralopia","Heredoataxia Polyneuritiformis, Hemeralopia","Heredoataxic atactica polyneuritiformis","Heredoataxic hemeralopica polyneuritiformis","Heredopathia Atactica Polyneuritiformis","Heredopathia atactica polyneuritiformis","Neuropathy, Hereditary Motor and Sensory, Type IV","Phytanic Acid Storage Disease","Phytanic acid storage disease","Polyneuritiformi, Hemeralopia Heredoataxia","Polyneuritiformis, Hemeralopia Heredoataxia","Polyneuritiformis, Heredopathia Atactica","Refsum Syndrome","Refsum Thiebaut Syndrome","Refsum syndrome","Refsum's Disease","Refsum's Syndrome","Refsum's disease","Refsum-Thiebaut Syndrome","Refsum-Thiebaut Syndromes","Refsum-Thiebaut disease","Refsums Disease","Refsums Syndrome","Syndrome, Refsum's","Syndrome, Refsum-Thiebaut","Syndromes, Refsum-Thiebaut",		MeSH:D012035(Refsum Disease),MedDRA:10034999(Phytanic acid storage disease),NDFRT:N0000002588(Refsum Disease [Disease/Finding]),SnoMedCT:25362006(Phytanic acid storage disease),UMLS:C0034960(C0034960)
PA445512	Arthritis, Reactive	"Arthritis occurring after infection","Post-bacterial arthropathy","Post-infective arthritis","Post-infective arthropathy","Reactive arthritis","Reiter Disease","Reiter's Disease","Reiters Disease",		MeSH:D016918(Arthritis, Reactive),MedDRA:10003267(Arthritis reactive),NDFRT:N0000003510(Arthritis, Reactive [Disease/Finding]),SnoMedCT:129133005(Post-bacterial arthropathy),SnoMedCT:239783001(Post-infective arthritis),UMLS:C0085435(C0085435)
PA445514	Renal Artery Obstruction	"Obstruction, Renal Artery","Obstructions, Renal Artery","Renal Artery Obstructions","Renal Artery Stenoses","Renal Artery Stenosis","Stenoses, Renal Artery","Stenosis, Renal Artery",		MeSH:D012078(Renal Artery Obstruction),NDFRT:N0000002591(Renal Artery Obstruction [Disease/Finding]),UMLS:C0035066(Renal Artery Obstruction [Disease/Finding])
PA445515	Renal Osteodystrophy	"Osteodystrophies, Renal","Osteodystrophy, Renal","ROD - Renal osteodystrophy","Renal Osteodystrophies","Renal Rickets","Renal bone disease","Renal osteodystrophy","Renal osteodystrophy NOS","Renal rickets","Rickets, Renal",		MeSH:D012080(Renal Osteodystrophy),MedDRA:10038489(Renal osteodystrophy),NDFRT:N0000002592(Renal Osteodystrophy [Disease/Finding]),SnoMedCT:16726004(Renal osteodystrophy),SnoMedCT:197668007(Renal osteodystrophy NOS),UMLS:C0035086(C0035086)
PA445520	Respiratory Distress Syndrome, Adult	"ARDS","ARDS, Human","ARDSs, Human","Acute Lung Injuries","Acute Lung Injury","Adult Respiratory Distress Syndrome","Adult respiratory distress syndrome","Atelectases, Congestive","Atelectasis, Congestive","Congestive Atelectases","Congestive Atelectasis","Human ARDS","Human ARDSs","Injuries, Acute Lung","Injury, Acute Lung","Lung Injuries, Acute","Lung Injury, Acute","Lung, Shock","Lungs, Shock","Pulmonary insufficiency following shock","Shock Lung","Shock Lungs","Vietnam lung",		MeSH:D012128(Respiratory Distress Syndrome, Adult),MedDRA:10000036(A.R.D.S.),NDFRT:N0000002597(Respiratory Distress Syndrome, Adult [Disease/Finding]),SnoMedCT:67782005(Adult respiratory distress syndrome),SnoMedCT:95437004(Non-cardiogenic pulmonary edema),UMLS:C0035222(C0035222)
PA445522	Respiratory Insufficiency	"Depressions, Ventilatory","Respiratory Depression","Respiratory Failure","Respiratory insufficiency","Respiratory insufficiency [D]","Ventilatory Depression",		MeSH:D012131(Respiratory Insufficiency),MedDRA:10038701(Respiratory insufficiency),NDFRT:N0000002599(Respiratory Insufficiency [Disease/Finding]),SnoMedCT:207056002([D]Respiratory insufficiency),SnoMedCT:409623005(Respiratory insufficiency),UMLS:C0035229(C0035229)
PA445524	Respiratory Sounds	"Crackle","Crackles","Pleural Rub","Pleural Rubs","Rale","Rales","Respiratory Sound","Respiratory sounds, NOS","Rhonchi","Rhonchus","Rub, Pleural","Sound, Respiratory","Stridor","Stridors","Wheezing","Wheezings",		MeSH:D012135(Respiratory Sounds),MedDRA:10064779(Breath sounds),NDFRT:N0000002601(Respiratory Sounds [Disease/Finding]),SnoMedCT:52653008(Respiratory sounds),UMLS:C0035234(C0035234)
PA445525	Respiratory Tract Diseases	"Disease, Respiratory Tract","Diseases, Respiratory Tract","Respiratory Tract Disease","Tract Disease, Respiratory","Tract Diseases, Respiratory",		MeSH:D012140(Respiratory Tract Diseases),NDFRT:N0000002602(Respiratory Tract Diseases [Disease/Finding]),UMLS:C0035242(Respiratory Tract Diseases [Disease/Finding])
PA445526	Respiratory Tract Infections	"Infection, Respiratory","Infection, Respiratory Tract","Infection, Upper Respiratory","Infections, Respiratory","Infections, Respiratory Tract","Infections, Upper Respiratory","RTI - Respiratory tract infection","Respiratory Infection","Respiratory Infection, Upper","Respiratory Infections","Respiratory Infections, Upper","Respiratory Tract Infection","Upper Respiratory Infection","Upper Respiratory Infections",		MeSH:D012141(Respiratory Tract Infections),MedDRA:10021863(Infection respiratory),NDFRT:N0000002603(Respiratory Tract Infections [Disease/Finding]),SnoMedCT:275498002(Respiratory tract infection),UMLS:C0035243(C0035243)
PA445528	Restless Legs Syndrome	"Ekbom Syndrome","Ekbom's Syndrome","Ekboms Syndrome","Restless Legs","Restless legs","Syndrome, Ekbom","Syndrome, Ekbom's",		MeSH:D012148(Restless Legs Syndrome),MedDRA:10024183(Legs restless),NDFRT:N0000002605(Restless Legs Syndrome [Disease/Finding]),SnoMedCT:32914008(Restless legs),UMLS:C0035258(C0035258)
PA445530	Retinal Degeneration	"Degeneration of retina","Degeneration, Retinal","Degenerations, Retinal","Retinal Degenerations","Retinal degeneration","Retinal degeneration, NOS",		MeSH:D012162(Retinal Degeneration),MedDRA:10012159(Degeneration retinal),NDFRT:N0000002607(Retinal Degeneration [Disease/Finding]),SnoMedCT:95695004(Degeneration of retina),UMLS:C0035304(C0035304)
PA445531	Retinal Detachment	"Detachment, Retinal","Detachments, Retinal","RD - Retinal detachment","Retinal Detachments","Retinal Pigment Epithelial Detachment","Retinal detachment","Retinal detachment NOS","Retinal detachment, NOS","Sensory retinal detachment","Separation of retinal layers",		MeSH:D012163(Retinal Detachment),MedDRA:10064854(Amotio retinae),NDFRT:N0000002608(Retinal Detachment [Disease/Finding]),SnoMedCT:193347002(Retinal detachment NOS),SnoMedCT:42059000(Retinal detachment),UMLS:C0035305(C0035305)
PA445532	Retinal Diseases	"Disease, Retinal","Diseases, Retinal","Retinal Disease","Retinopathy",		MeSH:D012164(Retinal Diseases),MedDRA:10013265(Disorder retinal),NDFRT:N0000002609(Retinal Diseases [Disease/Finding]),SnoMedCT:193430004(Retinal disorder NOS),SnoMedCT:29555009(Retinal disorder),SnoMedCT:399625000(Retinopathy),UMLS:C0035309(C0035309)
PA445533	Retinal Hemorrhage	"Hemorrhage, Retinal","Intraretinal hemorrhage","Retinal Hemorrhages","Retinal haemorrhage NOS","Retinal haemorrhages","Retinal hemorrhage","Retinal hemorrhage, NOS","Retinal hemorrhages",		MeSH:D012166(Retinal Hemorrhage),MedDRA:10005122(Bleeding intraretinal),NDFRT:N0000002610(Retinal Hemorrhage [Disease/Finding]),SnoMedCT:193422000(Retinal hemorrhage NOS),SnoMedCT:28998008(Retinal hemorrhage),UMLS:C0035317(C0035317)
PA445537	Retinitis Pigmentosa	"Degeneration, Tapetoretinal","Degenerations, Tapetoretinal","Dystrophies, Rod Cone","Dystrophies, Rod-Cone","Dystrophy, Rod Cone","Dystrophy, Rod-Cone","Pigmentary Retinopathies","Pigmentary Retinopathy","Retinitis pigmentosa","Retinopathies, Pigmentary","Retinopathy, Pigmentary","Rod Cone Dystrophies","Rod Cone Dystrophy","Rod-Cone Dystrophies","Rod-Cone Dystrophy","Tapetoretinal Degeneration","Tapetoretinal Degenerations",		MeSH:D012174(Retinitis Pigmentosa),MedDRA:10054856(Pigmentary maculopathy),NDFRT:N0000002614(Retinitis Pigmentosa [Disease/Finding]),SnoMedCT:28835009(Retinitis pigmentosa),UMLS:C0035334(C0035334)
PA445538	Retinoblastoma	"Familial Retinoblastoma","Familial Retinoblastomas","Glioblastoma, Retinal","Glioblastomas, Retinal","Glioma, Retinal","Gliomas, Retinal","Hereditary Retinoblastoma","Hereditary Retinoblastomas","Neuroblastoma, Retinal","Neuroblastomas, Retinal","Retinal Glioblastoma","Retinal Glioblastomas","Retinal Glioma","Retinal Gliomas","Retinal Neuroblastoma","Retinal Neuroblastomas","Retinoblastoma (M-95103)","Retinoblastoma, Familial","Retinoblastoma, Hereditary","Retinoblastoma, Sporadic","Retinoblastomas","Retinoblastomas, Familial","Retinoblastomas, Hereditary","Retinoblastomas, Sporadic","Sporadic Retinoblastoma","Sporadic Retinoblastomas",		MeSH:D012175(Retinoblastoma),MedDRA:10038916(Retinoblastoma),NDFRT:N0000002615(Retinoblastoma [Disease/Finding]),SnoMedCT:19906005(Retinoblastoma),SnoMedCT:370967009(Retinoblastoma),UMLS:C0035335(C0035335)
PA445539	Retinopathy of Prematurity	"Fibroplasia, Retrolental","Fibroplasias, Retrolental","Prematurity Retinopathies","Prematurity Retinopathy","RLF - Retrolental fibroplasia","ROP","ROP - Retinopathy of prematurity","Retinopathy of prematurity","Retrolental Fibroplasia","Retrolental Fibroplasias","Retrolental fibroplasia","Terry's syndrome",		MeSH:D012178(Retinopathy of Prematurity),MedDRA:10038933(Retinopathy of prematurity),NDFRT:N0000002616(Retinopathy of Prematurity [Disease/Finding]),SnoMedCT:415297005(Retinopathy of prematurity),UMLS:C0035344(C0035344)
