object	size
journalBytes:Journal of asthma and allergy	832669
journalFiles:Developmental Neuropsychology	1
journalFiles:BMC Ophthalmology	321
journalFiles:Biochemical Pharmacology	21
journalBytes:ACS Nano	1875488
journalFiles:The International Journal of Behavioral Nutrition and Physical Activity	927
journalFiles:Plant and Cell Physiology	290
journalFiles:Neurocomputing	1
journalFiles:American Journal of Community Psychology	7
journalBytes:Cellular &#x00026; Molecular Immunology	143512
journalBytes:PLoS Biology	608778045
journalFiles:Journal of Exposure Science & Environmental Epidemiology	13
journalFiles:Metabolomics	168
journalBytes:International Journal of Biometeorology	912813
journalBytes:Clinical, cosmetic and investigational dermatology : CCID	1399386
journalFiles:International Journal of Mental Health Nursing	1
journalFiles:GMS Thoracic Surgical Science	1
journalBytes:International Journal for Parasitology	2505255
journalFiles:ACS Applied Materials & Interfaces	12
journalFiles:Biology Letters	102
journalFiles:The European Journal of Contraception & Reproductive Health Care	6
journalFiles:Molecular and Cellular Biochemistry	11
journalFiles:Infection and Drug Resistance	38
journalBytes:Neuroimage	13218871
journalBytes:Addictive Behaviors	23127
journalFiles:International Journal of Andrology	22
journalFiles:Biologics : Targets & Therapy	275
journalFiles:Metal-Based Drugs	487
journalFiles:Blood Pressure	2
journalBytes:Integrative Medicine Insights	485995
journalBytes:PLoS computational biology.	10251
journalFiles:Deep-Sea Research. Part Ii, Topical Studies in Oceanography	1
journalBytes:Geoforum; Journal of Physical, Human, and Regional Geosciences	60829
journalFiles:Canadian Geriatrics Journal	14
journalBytes:Behavior Research Methods	1521663
journalFiles:Virulence	72
journalBytes:European Journal of Oncology Nursing	33671
journalBytes:Nature Medicine	4105145
journalBytes:Journal of Thrombosis and Thrombolysis	660912
journalFiles:Biophysical Reviews	14
journalFiles:Europace	65
journalBytes:Harvard Review of Psychiatry	359484
journalFiles:Journal of Family Violence	6
journalFiles:Developmental Dynamics	20
journalFiles:Emergency Radiology	12
journalFiles:Clinical epidemiology	17
journalBytes:Optics Express	6011621
journalFiles:Malaria Research and Treatment	41
journalBytes:Prostate Cancer and Prostatic Diseases	465431
journalBytes:Toxicology Letters	265802
journalBytes:Journal of Medical Genetics	2647204
journalBytes:Biomarkers	94722
articleCountWithAbstract_1971	625
journalFiles:Genes and immunity	92
journalBytes:Fish Physiology and Biochemistry	3387138
journalFiles:International Journal of Otolaryngology	158
journalBytes:BMC Veterinary Research	28006375
journalBytes:Biotechnology for Biofuels	34979076
articleCountWithAbstract_1975	848
journalBytes:Viruses	33559374
journalBytes:Chiropractic & Manual Therapies	3132629
journalBytes:Journal of Virological Methods	309547
journalFiles:Sexually Transmitted Infections	132
journalFiles:Thorax	73
journalFiles:Cell	181
journalBytes:BMC Neuroscience	83921529
journalFiles:Briefings in Functional Genomics	9
journalBytes:Journal of Community Genetics	439640
journalFiles:Journal of Biological Inorganic Chemistry	61
journalFiles:Bioscience Reports	92
journalFiles:Current Cardiovascular Risk Reports	12
journalBytes:Trends in Endocrinology and Metabolism	70338
journalFiles:Automated Experimentation	13
journalBytes:Development (Cambridge, England)	2616316
journalFiles:The Journal of Biological Chemistry	2745
journalBytes:Matrix Biology 	49332
journalFiles:Middle East African Journal of Ophthalmology	326
journalBytes:Medical Mycology	134138
journalFiles:Annals of Nuclear Medicine	8
journalFiles:European Journal of Inorganic Chemistry	6
journalFiles:Leukemia	204
journalFiles:Nutrition Reviews	8
journalBytes:Acta Obstetricia et Gynecologica Scandinavica	159002
journalBytes:European Journal of Dental Education	32594
journalBytes:Recent Patents on Anti-Cancer Drug Discovery	76728
journalBytes:Journal of Trauma Management & Outcomes	1467801
journalFiles:Local and Regional Anesthesia	5
journalBytes:Travel Medicine and Infectious Disease	40779
journalFiles:Archives of Drug Information	35
journalBytes:Cancer Nanotechnology	35096
journalFiles:Korean Journal of Ophthalmology : KJO	512
journalBytes:Current Bioactive Compounds	140407
journalFiles:History of the Human Sciences	2
journalBytes:Inflammopharmacology	177050
journalBytes:Journal of Pharmaceutical Sciences	136301
journalBytes:Journal of Cardiovascular Disease Research	3176431
journalFiles:Australasian Chiropractic & Osteopathy	116
journalFiles:Surgical Neurology International	525
journalFiles:Theoretical Population Biology	5
journalBytes:Autoimmunity	342673
journalFiles:International Journal of Systematic and Evolutionary Microbiology	14
journalBytes:Plant and Cell Physiology	36412361
journalFiles:Journal of Cardiovascular Ultrasound	109
journalBytes:Cellular Microbiology	8500211
journalFiles:Lancet Neurology	52
journalFiles:Journal of General Internal Medicine	452
journalBytes:International Urology and Nephrology	738354
journalBytes:Environmental Science & Technology	6022197
journalBytes:Symbiosis (Philadelphia, Pa.)	583862
journalBytes:Neural Computing & Applications	218071
journalFiles:Brain, Behavior, and Immunity	10
journalBytes:Journal of Venom Research	843036
journalFiles:Nature	2890
journalBytes:3 Biotech	14662379
journalBytes:Developmental Psychobiology	105690
journalFiles:Case Reports in Ophthalmology	186
journalFiles:Amphibian and Reptile Conservation	3
journalBytes:Leukemia	9025573
journalFiles:Gynecological Surgery	33
journalFiles:Social cognitive and affective neuroscience	2
journalFiles:Dysphagia	19
journalFiles:Radiation Oncology (London, England)	901
journalFiles:Human Pathology	2
journalBytes:Veterinary Research Communications	316701
journalFiles:Veterinary Microbiology	10
journalBytes:The Journal of Membrane Biology	10616530
journalFiles:Journal of Translational Medicine	1827
journalFiles:Economic Modelling	1
journalBytes:BMC Emergency Medicine	6469237
journalFiles:Journal of Transplantation	141
journalFiles:Zeitschrift Fur Psychologie	3
journalFiles:Toxicon	1
journalBytes:Ayu	4639754
journalFiles:Journal of Biology	421
journalFiles:Clinical Endocrinology	25
journalBytes:The British Journal of Surgery	196151
journalBytes:Biophysical Journal	3639236
journalFiles:Theranostics	193
journalFiles:Cough (London, England)	105
journalBytes:Alcohol and Alcoholism (Oxford, Oxfordshire)	830719
journalFiles:Journal of Cellular Biochemistry	8
journalFiles:The Journal of Applied Ecology	66
journalBytes:European Journal of Nuclear Medicine and Molecular Imaging	7048548
journalFiles:Irish Veterinary Journal	151
journalBytes:Iranian Journal of Arthropod-borne Diseases	1191629
journalFiles:European Journal of Histochemistry : EJH	168
journalFiles:European Journal of Paediatric Neurology	1
journalFiles:The British Journal of Psychiatry	69
journalFiles:Current Osteoporosis Reports	11
journalFiles:Cell & Bioscience	118
journalBytes:Nature Immunology	1924494
journalBytes:ACS Combinatorial Science	28684
journalBytes:Infectious Agents and Cancer	7117917
journalFiles:The Korean Journal of Physiology & Pharmacology : Official Journal of the Korean Physiological Society and the Korean Society of Pharmacology	102
journalFiles:The Scientific World Journal	1260
journalBytes:Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease	6807439
journalBytes:Respirology (Carlton, Vic.)	40412
journalBytes:Journal of Medical Signals and Sensors	997394
journalBytes:Diabetic Foot & Ankle	981218
journalBytes:European Spine Journal	10016775
journalBytes:Nature geoscience	145145
journalFiles:Endocrine, Metabolic & Immune Disorders Drug Targets	1
journalBytes:Journal of Medical Engineering & Technology	51841
journalFiles:Avian Pathology 	3
journalFiles:European Journal of Immunology	115
journalFiles:Journal of Proteomics	48
articleCount_2012	122328
journalBytes:Musculoskeletal Surgery	27298
journalFiles:BMC Emergency Medicine	203
journalFiles:Neurochemical Research	41
journalFiles:Drug Development Research	2
journalFiles:Yonsei Medical Journal	1329
journalFiles:Pediatric Neurology	1
journalBytes:ACS Macro Letters	55895
journalFiles:International Journal of Obesity (2005)	82
journalBytes:Mikrochimica Acta	259531
journalBytes:Journal of Biomedical Science	21127073
journalFiles:Molecular Biosystems	20
journalBytes:Insights into imaging	48762
journalFiles:Ecological Indicators	1
pmidCount_1993	2728
journalBytes:Academic Emergency Medicine	82134
journalFiles:Mechanisms of Development	7
journalFiles:Journal of Experimental & Clinical Cancer Research : CR	731
journalFiles:Cell & Chromosome	14
journalBytes:The Indian Journal of Radiology & Imaging	4834211
journalBytes:Nucleic Acids Research	1124767903
journalBytes:Journal of Hepatology	676261
journalFiles:Human Fertility (Cambridge, England)	1
journalBytes:Nephrology Dialysis Transplantation	4399545
journalBytes:Physics Letters. [Part B]	126784
journalFiles:Culture, Medicine and Psychiatry	17
journalBytes:Archives of Virology	2458141
journalFiles:Qualitative Health Research	1
journalFiles:European journal of dentistry	24
journalFiles:Orphanet Journal of Rare Diseases	654
journalBytes:Cell death and differentiation	2669845
journalBytes:Blood Cancer Journal	8141007
journalBytes:Journal of Biomedical Optics	105824
journalBytes:Neurochemical Research	1579520
journalBytes:Archives of Oral Biology	261406
journalBytes:European Journal of Endocrinology	1879064
journalFiles:Journal of Behavior Therapy and Experimental Psychiatry	10
journalFiles:Current Stem Cell Research & Therapy	1
journalFiles:Summit on Translational Bioinformatics	46
journalBytes:Journal of Medical Internet Research	32416984
journalBytes:Molecular and Biochemical Parasitology	1911108
journalFiles:International Journal of Prisoner Health	1
journalFiles:Public Health	4
journalBytes:Inflammation Research	1192303
journalBytes:Medical Teacher	38926
journalBytes:Cognitive and Behavioral Practice	54060
journalFiles:Epidemiologic Reviews	6
journalBytes:Saline Systems	9702708
journalFiles:BMC Developmental Biology	1416
journalBytes:Tuberculosis Research and Treatment	1385074
journalFiles:Allergy & Rhinology	35
journalBytes:Psychiatry Research	331664
journalBytes:Health Information and Libraries Journal	36702
journalBytes:Nutritional Neuroscience	133960
journalBytes:Anesthesiology Research and Practice	3032818
journalFiles:Developmental Biology	131
journalFiles:Chemmedchem	37
journalBytes:Pharmacogenomics and Personalized Medicine	812925
journalBytes:Human and Ecological Risk Assessment	1176733
journalBytes:Journal of Foot and Ankle Research	6833031
journalBytes:Frontiers in Neurorobotics	2820850
journalFiles:Ecology Letters	101
journalBytes:Journal of Clinical Bioinformatics	3300546
journalBytes:Ethnicity & Health	302173
journalFiles:Clinical and Experimental Allergy	25
journalFiles:Tropical Medicine & International Health	40
journalFiles:Hormones and Behavior	2
journalBytes:Journal of Tropical Pediatrics	9350
journalFiles:Journal of Critical Care	1
journalBytes:Journal of Immune Based Therapies and Vaccines	2704740
journalFiles:American Journal of Epidemiology	183
journalBytes:International Neurourology Journal	1950123
journalBytes:Journal of Mass Spectrometry	31494
journalFiles:The Patient	5
journalBytes:Journal of Hunger & Environmental Nutrition	713902
journalFiles:European Orthopaedics and Traumatology	10
journalBytes:Indian Journal of Psychological Medicine	3072313
journalBytes:Biotechnology and Applied Biochemistry	149130
journalFiles:Climacteric	1
journalFiles:Clinical & Developmental Immunology	1
journalFiles:Structure(London, England:1993)	60
journalBytes:Chemotherapy Research and Practice	2194880
journalBytes:Sleep Medicine	44036
journalBytes:Journal of Evidence-Based Medicine	20147
journalFiles:International Journal of Law and Psychiatry	2
journalBytes:European Journal of Human Genetics	2678874
journalBytes:Nursing Ethics	42954
journalBytes:Psychometrika	1275138
journalFiles:Sports Medicine (Auckland, N.z.)	1
journalBytes:Indian Journal of Endocrinology and Metabolism	8535480
journalFiles:Journal of Gastric Cancer	100
journalFiles:International journal of general medicine	16
journalBytes:Nature	244513007
journalBytes:Pest Management Science	148056
journalFiles:Case Reports in Otolaryngology	104
journalFiles:Journal of Ayurveda and Integrative Medicine	161
journalBytes:Journal of Family Psychology	62635
journalBytes:Mycopathologia	234968
journalBytes:Cell Calcium	1335820
journalFiles:Acta Physiologica (Oxford, England)	13
journalFiles:Journal of Organometallic Chemistry	4
journalBytes:Clinical Medicine. Circulatory, Respiratory and Pulmonary Medicine	223267
journalFiles:SpringerPlus	88
journalFiles:Journal of Natural Products	24
journalBytes:Aerobiologia	321253
journalBytes:Journal of Natural Medicines	109901
journalBytes:Neuroradiology	1597467
journalBytes:Journal of Neural Transplantation	400226
journalBytes:Gastric Cancer	312227
journalFiles:The Journal of Chemical Thermodynamics	1
journalBytes:Behavioural and Cognitive Psychotherapy	194788
journalBytes:Journal of Computational and Applied Mathematics	131129
journalBytes:Archives of Toxicology	2837505
journalBytes:Issues in Comprehensive Pediatric Nursing	29528
journalBytes:Cancer Chemotherapy and Pharmacology	4341722
journalFiles:Educational Psychologist	1
journalFiles:Cytokine	6
journalFiles:Biomarkers 	1
journalBytes:Pathology Oncology Research 	101549
journalFiles:Vox Sanguinis	6
journalBytes:Case Reports in Orthopedics	1087127
journalBytes:International Journal of Dental Hygiene	23955
journalFiles:Nano Reviews	37
journalFiles:Open Clinical Cancer Journal	3
journalBytes:ISRN Pharmaceutics	1869600
journalBytes:International Journal of Rheumatology	3770427
journalFiles:Neuropathology and Applied Neurobiology	2
journalBytes:Forensic Science International	19659
journalFiles:Journal of Autoimmune Diseases	34
journalFiles:Clinical Medicine Insights. Endocrinology and Diabetes	19
journalBytes:Microbial Biotechnology	350255
journalFiles:Advanced Biomedical Research	83
journalFiles:Journal of molecular and genetic medicine : an international journal of biomedical research	23
journalBytes:Journal of Medical Primatology	10578
journalFiles:Case Reports in Nephrology and Urology	34
journalBytes:Wound Repair and Regeneration	36151
journalFiles:Physiology & Behavior	3
journalBytes:Experimental Diabesity Research	1997015
journalBytes:Computers & Graphics	102364
journalFiles:Journal of Applied Microbiology	6
journalFiles:PLoS computational biology.	1
journalBytes:Aquatic Toxicology (Amsterdam, Netherlands)	55161
journalFiles:Acta Radiologica (Stockholm, Sweden : 1987)	1
journalBytes:Applied Animal Behaviour Science	38796
journalFiles:Computer Methods in Biomechanics and Biomedical Engineering	1
journalFiles:Molecular Breeding	94
journalFiles:Heart Views : The Official Journal of the Gulf Heart Association	110
journalFiles:Residential Treatment for Children & Youth	1
journalBytes:Nutrients	16385543
journalFiles:Psychology & Health	2
journalBytes:The Patient	167427
journalFiles:Aging	57
journalBytes:Langmuir	1150258
journalFiles:The Journal of Steroid Biochemistry and Molecular Biology	4
journalBytes:Journal of Psycholinguistic Research	33231
journalBytes:GMS Current Topics in Otorhinolaryngology, Head and Neck Surgery	8396100
journalFiles:Psychophysiology	4
journalFiles:European Journal of Personality	1
journalBytes:Cough (London, England)	2954961
journalFiles:Chonnam Medical Journal	74
journalFiles:The World Journal of Biological Psychiatry	5
journalFiles:Natural Product Reports	2
journalBytes:Human Pathology	70415
journalFiles:Reproductive Biology and Endocrinology	117
journalBytes:Clinical Drug Investigation	208002
journalBytes:Ticks and Tick-Borne Diseases	83764
journalFiles:CPT: Pharmacometrics & Systems Pharmacology	10
journalFiles:Biomedical Imaging and Intervention Journal	270
journalFiles:International Journal of Dentistry	301
journalFiles:Diabetes & Vascular Disease Research	1
journalBytes:Endocrine	146680
journalFiles:BMC Medical Ethics	239
journalBytes:Current Protein & Peptide Science	1324069
journalBytes:Cellular and Molecular Life Sciences	10340372
journalBytes:Human Vaccines & Immunotherapeutics	1684747
journalBytes:Cardiovascular and Interventional Radiology	1774647
journalFiles:Culture, Health & Sexuality	5
journalBytes:Immunopharmacology and Immunotoxicology	38702
articleCountWithAbstract_1983	1479
articleCountWithAbstract_1982	1293
articleCountWithAbstract_1981	1207
articleCountWithAbstract_1980	1066
articleCountWithAbstract_1987	1450
articleCountWithAbstract_1986	1457
articleCountWithAbstract_1985	1430
articleCountWithAbstract_1984	1404
articleCountWithAbstract_1989	1753
articleCountWithAbstract_1988	1433
journalBytes:Nuclear Instruments & Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment	63327
journalFiles:Breast (Edinburgh, Scotland)	1
journalBytes:Tropical Parasitology	865112
journalFiles:Archives of Virology	59
journalBytes:Immunology and Cell Biology	1036796
journalFiles:Journal of Public Health Policy	2
journalBytes:Ethiopian Journal of Health Sciences	2490391
journalFiles:Journal of Skin Cancer	92
journalFiles:Inflammation & Allergy Drug Targets	3
journalBytes:Journal of Human Reproductive Sciences	2950877
journalFiles:Psychology Research and Behavior Management	23
journalFiles:Inflammopharmacology	5
journalBytes:Biochemistry Research International	8978021
journalFiles:Minerva	12
journalBytes:Thermochimica Acta	116509
journalFiles:Mind & Language	2
journalFiles:Neuropsychiatric Disease and Treatment	706
journalFiles:Endocrinology	47
journalBytes:The International Journal of Cardiovascular Imaging	5196489
journalBytes:Acta Crystallographica Section C: Crystal Structure Communications	64641
journalBytes:Respiration	31798
journalFiles:Biomagnetic Research and Technology	29
journalBytes:European Journal of Oral Sciences	43236
journalFiles:Skeletal Muscle	91
journalBytes:Annals of Saudi Medicine	6035240
journalFiles:The International Journal of Medical Robotics + Computer Assisted Surgery	1
journalBytes:Depression and Anxiety	177709
journalFiles:Brain Research	16
journalFiles:International Ophthalmology	7
journalBytes:Proceedings. Mathematical, Physical, and Engineering Sciences / The Royal Society	277707
journalFiles:Mathematical Medicine and Biology	1
journalFiles:Journal of Inherited Metabolic Disease	122
journalBytes:Ajob Primary Research	43168
journalBytes:Bioscience Reports	3460895
journalFiles:Revista Brasileira de Hematologia e Hemoterapia	247
journalBytes:BMC Complementary and Alternative Medicine	35850270
journalBytes:International journal of experimental diabetes research	3041238
journalFiles:Iranian Journal of Environmental Health Science & Engineering	54
journalFiles:Journal of Food Science	12
journalFiles:Journal of Biomedical Semantics	144
journalBytes:Current Signal Transduction Therapy	44471
journalFiles:Scandinavian Journal of Infectious Diseases	2
journalFiles:Journal of Clinical Imaging Science	152
journalFiles:Prostate Cancer	76
journalBytes:Standards in Genomic Sciences	8205981
journalFiles:International Journal of Biometeorology	23
journalBytes:Scandinavian Journal of Urology and Nephrology	21827
journalBytes:Plastic Surgery International	1481315
journalFiles:Case Reports in Surgery	153
journalBytes:Journal of Cognitive Psychology (Hove, England)	121906
journalBytes:The Journal of Physiological Sciences	274685
journalFiles:Environmental Management	54
journalBytes:Journal of the American Dietetic Association	32773
journalBytes:Journal of Zoology (London, England : 1987)	129345
journalBytes:Journal of Religion and Health	433826
journalFiles:Pediatric Surgery International	36
journalFiles:Clinical Nutrition Research	23
journalBytes:Molecular Plant Pathology	133843
journalFiles:Biofactors (Oxford, England)	1
journalBytes:Multimedia Tools and Applications	106794
journalFiles:Hematology (Amsterdam, Netherlands)	2
journalFiles:Tobacco Induced Diseases	247
journalFiles:Current Drug Delivery	1
journalFiles:The Journal of Hospital Infection	2
journalBytes:Journal of the Royal Society Interface	7576627
journalFiles:Kinetoplastid Biology and Disease	50
journalFiles:The Journal of Wildlife Management	4
journalBytes:Acta Veterinaria Scandinavica	17742107
journalFiles:BMC Geriatrics	860
journalFiles:The Korean Journal of Thoracic and Cardiovascular Surgery	197
journalFiles:North American Journal of Medical Sciences	476
journalBytes:Fungal Genetics and Biology	460237
journalBytes:Neuromuscular Disorders	504166
journalFiles:Genes & Nutrition	45
journalFiles:Bioinorganic chemistry and applications	12
journalFiles:Cell Cycle	252
journalBytes:Clinical Microbiology and Infection	221389
journalFiles:Orthopedic Reviews	99
journalFiles:Acta Crystallographica Section C: Crystal Structure Communications	5
journalFiles:Current Opinion in Microbiology	13
journalFiles:Investigational New Drugs	63
journalBytes:Medical History	93753147
journalFiles:Nordic Journal of Psychiatry	3
journalFiles:Archives of Disease in Childhood	41
journalBytes:Molecular Therapy: the Journal of the American Society of Gene Therapy	151960
journalFiles:Basic & Clinical Pharmacology & Toxicology	4
journalBytes:American Journal of Physiology - Gastrointestinal and Liver Physiology	361311
journalFiles:Contemporary Clinical Trials	3
journalFiles:Poiesis & Praxis	41
journalFiles:Psychological Medicine	49
journalFiles:Cell Division	201
journalFiles:Journal of Medicine and the Person	1
journalFiles:Human Molecular Genetics	992
journalBytes:Brain, Behavior, and Immunity	455306
journalBytes:Middle East African Journal of Ophthalmology	6472953
journalBytes:Genes, Brain, and Behavior	2186199
journalFiles:Food &#x0026; Nutrition Research	2
journalBytes:The British Journal of Dermatology	776327
journalFiles:British Medical Bulletin	1
journalBytes:Ultrasound in Medicine & Biology	151336
journalBytes:Talanta	84942
journalBytes:Psychological Assessment	38421
journalFiles:International Psychogeriatrics / Ipa	4
journalBytes:Surgical and Radiologic Anatomy 	29282
journalFiles:Global Public Health	10
journalBytes:Hematology Reviews	633751
journalFiles:International Journal for Ion Mobility Spectrometry	1
journalFiles:Neurotherapeutics	18
journalBytes:Substance Use & Misuse	245095
journalFiles:Genome Medicine	510
journalFiles:Stem Cell Research & Therapy	137
journalFiles:International Journal of Surgery (London, England)	1
journalFiles:Air Quality, Atmosphere, & Health	39
journalBytes:Behavioral and Brain Functions: BBF	24234
journalFiles:Videosurgery and other Miniinvasive Techniques	15
journalBytes:Pflugers Archiv	2378956
journalBytes:Computer Aided Surgery	63450
journalFiles:Cell Biochemistry and Biophysics	17
journalFiles:Evolution; International Journal of Organic Evolution	34
journalFiles:The American Journal on Addictions	1
journalBytes:Blood Cells, Molecules & Diseases	24160
journalBytes:Acta Naturae	6250661
journalBytes:Journal of Visualized Experiments : JoVE	13764673
journalFiles:BMJ Open	3217
journalFiles:Current Gerontology and Geriatrics Research	125
journalFiles:Clinical and Translational Medicine	39
journalBytes:Virus Research	271943
journalBytes:Current Obesity Reports	197699
journalBytes:Electromagnetic Biology and Medicine	32243
journalBytes:Scandinavian Journal of Food & Nutrition	4781
journalFiles:Esophagus	5
journalBytes:Autonomic Neuroscience 	112195
journalFiles:The ISME Journal	177
journalFiles:Clinical Medicine Insights. Cardiology	66
journalFiles:Acta Crystallographica Section B: Structural Science	17
pmidCount_2013	7828
journalFiles:Nature chemical biology	322
journalFiles:Journal of Nutrigenetics and Nutrigenomics	1
journalBytes:Frontiers in Molecular Neuroscience	14008079
articleCount	585013
journalBytes:European Journal of Applied Physiology	3342093
journalFiles:Nutrition Research and Practice	388
journalBytes:Journal of Craniovertebral Junction and Spine	956382
journalBytes:Cerebrovascular Diseases Extra	742945
journalFiles:Behavioral Ecology	28
journalFiles:American Journal of Physiology - Lung Cellular and Molecular Physiology	12
journalBytes:Journal of Food Science	680444
journalBytes:Expert Reviews in Molecular Medicine	1170482
journalFiles:Current Chemical Genomics	71
journalBytes:Patient preference and adherence	12535939
journalBytes:Advanced Synthesis & Catalysis	165446
journalBytes:Theranostics	7705481
journalFiles:Journal of Cancer Epidemiology	66
journalBytes:Sports Medicine, Arthroscopy, Rehabilitation, Therapy, and Technology : SMARTT	769449
journalBytes:Neurosurgery Clinics of North America	58278
journalFiles:Molecular Diagnosis & Therapy	1
journalBytes:The Korean Journal of Pain	2899745
journalBytes:Cell research	733736
journalFiles:Thermochimica Acta	3
journalFiles:Addictive Behaviors	1
journalBytes:BMC Public Health	236128715
journalFiles:Cost effectiveness and resource allocation : C/E	37
journalBytes:Biodegradation	461090
journalBytes:Systematic Parasitology	244025
journalFiles:Cellular and Molecular Neurobiology	14
journalFiles:Hormones & Cancer	6
journalBytes:EJNMMI Research	10859028
journalFiles:Journal of Health Psychology	1
journalFiles:Journal of the History of the Neurosciences	1
journalFiles:Human Genomics	262
journalFiles:Traffic (Copenhagen, Denmark)	96
journalFiles:Journal of Environmental and Public Health	173
journalBytes:Journal of Nanoparticle Research	2459939
journalFiles:Psychopharmacology	217
journalFiles:Case Reports in Anesthesiology	52
journalBytes:Chemical Biology & Drug Design	623526
journalFiles:Polyhedron	1
journalBytes:The Open Virology Journal	4567769
journalFiles:Pharmacy World & Science	4
journalBytes:Annals of Emergency Medicine	20566
journalBytes:Strategies in Trauma and Limb Reconstruction	3106525
journalBytes:Community Eye Health	1558494
journalBytes:Journal of perinatology : official journal of the California Perinatal Association	636145
journalFiles:Innate Immunity	1
journalBytes:Genetics Research	89361
journalFiles:Ethnicity & Health	6
journalFiles:Bioconjugate Chemistry	30
journalBytes:Journal of Experimental Child Psychology	136090
journalBytes:Geoderma	59853
journalBytes:Journal of NeuroEngineering and Rehabilitation	19984036
journalBytes:Network (Bristol, England)	86384
journalFiles:Annals of Hematology	95
journalBytes:Cell Communication & Adhesion	31790
journalFiles:Immunology Letters	11
journalBytes:Immunogenetics	13096734
journalBytes:Chonnam Medical Journal	1510195
journalBytes:Toxicology Mechanisms and Methods	760999
journalBytes:Current Hypertension Reports	538295
journalFiles:Disability and Rehabilitation	6
journalFiles:Journal of Neuropsychology	1
journalBytes:BMC Biochemistry	23216272
journalBytes:BMC Molecular Biology	47328133
journalFiles:Clinical and Experimental Otorhinolaryngology	238
journalBytes:Human Heredity	106193
journalFiles:Archives of Women's Mental Health	13
journalBytes:Journal of Molecular Neuroscience 	170568
journalBytes:Clinical and Translational Science	91985
journalFiles:Brain Injury	2
journalFiles:Journal of the American Water Resources Association	39
journalBytes:Journal of Solution Chemistry	367060
journalBytes:Japanese Journal of Clinical Oncology	968565
journalBytes:Preventing Chronic Disease	31928785
journalBytes:Current Neuropharmacology	13695888
journalBytes:Nature physics	291788
journalFiles:The Psychiatric Clinics of North America	1
journalFiles:Critical Reviews in Biochemistry and Molecular Biology	4
journalBytes:Journal of Molecular Biology	7862061
journalBytes:Archives of Disease in Childhood	1214282
journalFiles:Brain Topography	22
journalBytes:Nature Genetics	25896338
journalFiles:International Journal of Experimental Diabesity Research	8
journalFiles:Nutrition Bulletin / Bnf	1
journalFiles:European Review of Aging and Physical Activity	3
journalBytes:The Journal of Investigative Dermatology. Symposium Proceedings	54679
journalFiles:Safety and Health at Work	115
journalFiles:The Journal of Arthroplasty	1
journalFiles:Cellular Oncology (Dordrecht)	49
journalBytes:Journal of Medicinal Chemistry	8721417
journalFiles:Biotechnology and Applied Biochemistry	4
journalBytes:International Seminars in Surgical Oncology	1095946
journalFiles:Journal of Mammary Gland Biology and Neoplasia	21
journalBytes:Documenta Ophthalmologica. Advances in Ophthalmology	320912
journalBytes:Clinical and Translational Medicine	1461793
journalFiles:Hereditary Cancer in Clinical Practice	436
journalBytes:International Journal of Environmental Health Research	31106
journalFiles:Journal of Alloys and Compounds	4
journalBytes:Cytogenetic and Genome Research	197962
journalBytes:Social Theory & Health	246900
journalFiles:Clinical Medicine. Pathology	19
journalFiles:Cognitive Neuropsychology	5
journalFiles:Clinical Science (London, England : 1979)	65
journalFiles:Case Reports in Hematology	70
journalBytes:Medical Image Analysis	340468
articleTypeFiles:collection	19
journalBytes:Irish Journal of Medical Science	94400
journalFiles:Journal of Cystic Fibrosis	3
journalBytes:International Journal of Preventive Medicine	5883029
journalBytes:Angiogenesis	2136322
journalBytes:The Journal of Deaf Studies and Deaf Education	501837
journalBytes:Sleep & Breathing = Schlaf & Atmung	751210
journalFiles:Musculoskeletal Surgery	1
journalBytes:Brain Stimulation	109362
journalFiles:Arthropod Structure & Development	2
journalFiles:International Journal of Peptides	75
journalBytes:Advanced Engineering Materials	36308
journalBytes:Cancer Cell International	15203870
journalBytes:Advances in Cognitive Psychology	5353627
journalFiles:Parasite Immunology	44
journalBytes:American Journal of Physiology - Endocrinology and Metabolism	608727
journalFiles:Community Eye Health	172
journalFiles:New Zealand Veterinary Journal	1
journalFiles:Translational Stroke Research	22
journalFiles:Bio Systems	2
journalBytes:Progress in Neurobiology	612085
journalBytes:Oxidative Medicine and Cellular Longevity	15009746
journalBytes:British Journal of Haematology	8952098
journalFiles:Immunology and Cell Biology	51
journalBytes:Folia Microbiologica	416337
journalFiles:Critical Ultrasound Journal	58
journalFiles:Journal of Pharmaceutical Innovation	2
journalFiles:Journal of Pharmaceutical and Biomedical Analysis	5
journalFiles:Physics Letters. [Part B]	5
journalFiles:Multivariate Behavioral Research	3
journalFiles:Biopsychosocial Medicine	146
journalFiles:Clinical and Molecular Allergy	17
journalBytes:Thyroid Research	2601411
journalFiles:The Journal of Maternal-Fetal & Neonatal Medicine	6
journalBytes:Behavioral Ecology	482053
journalFiles:Systematic Reviews	135
journalBytes:Clinical Medicine Insights. Oncology	4210364
journalFiles:Fish & Shellfish Immunology	1
journalFiles:Journal of Aging Studies	1
journalBytes:Journal of Medicine and Life	6387360
journalFiles:International Journal of Public Health	33
journalBytes:Pediatric Hematology and Oncology	15168
journalFiles:The Open Virology Journal	110
journalBytes:Diseases of the Colon and Rectum	311439
journalFiles:Quarterly Journal of Experimental Psychology (2006)	12
journalBytes:Nano Today	88468
journalFiles:Journal of Inorganic Biochemistry	7
