ISSN	impact
1056-6171	0.912
0021-9002	0.632
1931-3195	0.818
1665-6423	0.145
0021-9037	0.513
1041-3200	1.547
0266-4763	0.405
0260-437X	2.478
0021-9045	0.681
0899-7659	0.833
1049-8850	0.722
0146-6623	0.294
0161-8202	0.626
0305-4403	1.914
0140-1963	1.723
1674-6767	0.542
0883-5403	2.384
1076-9757	1.143
1434-7229	1.593
1346-7581	0.086
1367-9120	2.152
1028-6020	0.944
1058-0468	1.844
1536-9323	1.667
1055-3290	1.09
0277-0903	1.525
0021-9142	0.286
0250-6335	0.4
1340-3478	2.692
1062-6050	1.796
0167-7764	0.985
0739-0572	2.255
0022-4928	2.555
1364-6826	1.596
1087-0547	2.447
1549-4950	0.432
1446-7887	0.422
1326-3390	0
0896-8411	7.368
1463-9246	0.467
0168-7433	0.714
1064-2315	0.02
0908-8857	2.28
1082-6742	0.625
1053-8127	0.587
0021-9193	3.825
1310-4772	0.158
0233-111X	1.266
0883-9115	2.953
1556-6560	1.037
0021-924X	2.371
1095-6670	1.38
0145-479X	2.813
1176-7529	0.54
0305-0270	4.544
0021-9258	4.773
0021-9266	0.391
0949-8257	3.289
0092-0606	1.864
0393-974X	5.183
1790-045X	0.619
0748-7304	2.934
0218-3390	0.57
0920-5063	1.691
0885-3282	2.082
0021-9290	2.434
0148-0731	1.896
1110-7243	2.436
1532-0464	1.792
1549-3296	2.625
1552-4973	2.147
1550-7033	4.216
1083-3668	3.157
1021-7770	1.98
0925-2738	3.612
1087-0571	2.049
1672-6529	1.023
1054-3406	1.342
1864-063X	4.343
1389-1723	1.793
0250-5991	1.648
0168-1656	3.045
0021-9355	3.272
0301-620X	2.832
0914-8779	2.268
0884-0431	6.373
1806-3713	1.391
1678-5878	0.2
0103-5053	1.434
1738-6756	0.318
1752-7155	2.541
1084-0702	0.623
0373-6687	1.222
1940-1493	0.718
1744-2591	0.714
1107-0625	0.607
1559-047X	1.366
0735-0015	1.779
0971-6777	0.061
1488-2159	1
0021-9487	0.328
0885-8195	0.762
0171-5216	2.558
1932-2259	2.629
0732-8303	0.631
1071-9164	3.66
0886-0440	0.865
0914-5087	1.284
1932-7501	1.692
1053-0770	1.64
1749-8090	1.187
1045-3873	3.064
1097-6647	3.717
1558-2027	1.51
0889-4655	1.431
0160-2446	2.287
1074-2484	1.753
0021-9509	1.559
1937-5387	2.611
0021-9517	6.002
0886-3350	2.264
1090-6924	1.171
1557-5969	0.34
0730-2312	2.868
0021-9525	10.264
1582-1838	4.125
0021-9541	3.874
0021-955X	0.776
0021-9533	6.111
1005-9784	0.364
1229-9162	0.386
1882-0743	0.736
0733-5210	2.073
0271-678X	5.008
1074-1542	0.566
0098-0331	2.657
0021-9584	0.739
0021-9568	1.693
0021-9592	0.622
1549-9596	4.675
0891-0618	2.435
0021-9606	3.333
1747-5198	0.633
0974-3626	1.177
0253-5106	1.377
0268-2575	2.168
1549-9618	5.215
0021-9614	2.422
1758-2946	3.419
0886-9383	1.952
1120-009X	1.084
0717-9324	0.448
1044-5463	2.884
1367-4935	0.75
0883-0738	1.748
0021-9630	4.281
0009-4536	0.678
0253-3839	0.295
1726-4901	0.787
0021-9673	4.531
1570-0232	2.888
0021-9665	0.884
0218-1266	0.281
1392-3730	2.171
0176-4268	0.719
0959-6526	2.727
0894-8755	4.097
0952-8180	1.213
0733-2459	1.933
0912-0009	1.975
1094-6950	1.295
0021-972X	5.967
0895-4356	4.271
1380-3395	2.133
0192-0790	3.159
1524-6175	1.83
0271-9142	3.077
0021-9738	13.069
0887-8013	1.384
1933-2874	1.583
0095-1137	4.153
1387-1307	0.887
1738-6586	1.691
0736-0258	1.451
0967-5868	1.247
0962-1067	1.118
0732-183X	18.372
0021-9746	2.306
1053-4628	0.444
0303-6979	2.996
0269-4727	1.57
0091-2700	2.911
0160-6689	5.799
0271-0749	4.098
1550-9389	3.232
0091-2751	0.806
1386-6532	3.969
1040-7278	0.916
0749-0208	0.766
1547-0091	1.121
0898-929X	5.175
0887-381X	0.188
0021-9797	3.07
1520-4766	3.408
1063-8539	0.62
1382-6905	0.664
0097-3165	0.826
0095-8956	0.892
0021-9924	1.76
0737-0016	0.775
1229-2370	0.291
1064-2269	0.383
0021-9967	3.808
0021-9975	1.647
0340-7594	2.011
0174-1578	1.966
0735-7036	1.725
1446-8263	0.02
0885-064X	1.099
1090-0268	1.021
0021-9983	1.068
0218-396X	0.381
0920-654X	3.386
1521-1398	0.417
0377-0427	1.112
0363-8715	1.221
1066-5277	1.546
0192-8651	4.583
0887-3801	1.337
1569-8025	1.211
1061-8600	1.056
1530-9827	0.511
0887-4417	0.822
0254-9409	0.978
0929-5313	2.51
1555-1423	0.827
0021-9991	2.31
1000-9000	0.564
1064-2307	0.168
0022-0000	1.157
1546-1955	0.912
0022-0019	0.54
0733-9364	0.818
0143-974X	1.251
0169-7722	2.324
1068-3623	0.176
1068-3372	0.224
0894-1912	1.521
0022-0124	1.054
0168-3659	5.732
0944-6532	0.823
0095-8972	1.547
1473-2130	0.98
1476-4172	0.978
1525-7886	0.277
1475-7516	5.723
1010-5182	1.643
1049-2275	0.822
0883-9441	2.134
1873-9946	2.566
0278-0372	1.116
0933-2790	1.25
0022-0248	1.726
1296-2074	1.079
1203-4754	0.98
0303-6987	1.561
1569-1993	3.19
0970-9371	0.311
0022-0299	1.566
0022-0302	2.564
1063-8016	0.875
0300-5712	2.947
0022-0337	0.906
0022-0345	3.486
1991-7902	0.222
0385-2407	1.493
0923-1811	3.718
0954-6634	1.234
0196-206X	2.135
2040-1744	1.556
1056-8727	2.032
2040-1116	1.861
1023-6198	0.8
0022-0396	1.277
0022-040X	1.583
1751-2972	1.589
0897-1889	1.255
1551-319X	2.28
0193-2691	0.56
1773-2247	0.679
1061-186X	2.696
1545-9616	1.566
1610-0379	1.471
1079-2724	0.426
1040-7294	0.733
0022-0434	0.802
1674-487X	0.312
0253-4126	0.82
1363-2469	0.59
1793-4311	0.317
0022-0477	5.044
0022-0493	1.699
0304-4076	1.349
1095-0680	1.536
0374-3535	1.11
0095-2443	0.639
1975-0102	0.579
1335-3632	0.37
1572-6657	2.905
0022-0736	1.141
1385-3449	1.194
0013-4651	2.59
0920-5071	2.965
1050-6411	1.969
1017-9909	0.647
0361-5235	1.466
0022-0744	1.31
1043-7398	0.694
0368-2048	1.958
0923-8174	0.468
0304-3886	1.08
1644-2296	0.378
0736-4679	1.306
0099-1767	0.503
1556-2646	1.267
0022-0795	3.548
0391-4097	1.566
0099-2399	2.88
0892-7790	1.847
1526-6028	2.856
0733-9402	0.483
0737-0652	0.778
0195-0738	0.554
1743-9671	0.589
1021-447X	0.214
0954-4828	0.928
1069-4730	1.569
1558-9250	0.889
0742-4795	0.679
0094-4289	0.954
0022-0833	0.856
0733-9399	0.99
****-****	0.2
0923-4748	1.032
1810-2328	0.259
1065-5131	0.275
1302-0250	0.365
0749-8004	0.319
0254-8704	0.64
1083-1363	0.794
1648-6897	1.958
1496-2551	 
0733-9372	1.312
0022-0892	0.803
1726-2135	2.533
0301-4797	3.245
1464-0325	1.991
0731-8898	1
1311-5065	0.102
0047-2425	2.324
0265-931X	1.339
1093-4529	1.19
0360-1234	0.886
1059-0501	5.16
0119-1144	0.182
1001-0742	1.66
1475-6366	1.617
0917-5040	1.858
0143-005X	3.192
0737-0806	0.671
0972-060X	0.29
1041-2905	0.412
1496-4155	0.986
1746-4269	2.392
0378-8741	3.014
0289-0771	1.183
1066-5234	2.659
0926-9959	2.98
0955-2219	2.353
1435-9855	1.404
1990-2573	1.019
1356-1294	1.229
0022-0930	0.243
1424-3199	0.883
1010-061X	3.276
1728-869X	0.512
1557-5063	0.435
0022-5002	1.385
0022-0949	2.996
0022-0957	5.364
1756-9966	2.148
0022-0981	1.875
0022-1007	13.853
1745-8080	1.011
0097-7403	2.052
0096-1523	3.061
0278-7393	2.854
0952-813X	0.333
1063-7761	1.028
1932-5223	1.642
1552-5007	2.416
1559-0631	2.932
0023-6152	0.272
1300-1884	0.132
1074-8407	0.955
1471-1893	1.636
0094-3509	0.61
1098-612X	1.38
0273-8570	1.196
1556-4959	2.244
1042-3915	0.192
0734-9041	0.98
0022-1112	1.685
0140-7775	2
1661-7738	0.776
1753-318X	1
0094-730X	4.05
0098-2202	0.747
0022-1120	2.459
0889-9746	1.567
1053-0509	2.107
0022-1139	2.033
1459-0255	0.517
0145-8884	0.815
0889-1575	2.079
1021-9498	0.643
0260-8774	2.414
0015-6426	0.433
1065-7258	1.273
1336-8672	0.679
0145-8876	0.83
0145-8892	0.553
0362-028X	1.937
0146-9428	0.54
0149-6085	0.72
0022-1147	1.658
0022-1155	0.498
1757-1146	1.333
1067-2516	0.516
0096-1191	1.688
1752-928X	1.098
0022-1198	1.229
0022-1201	1.354
1104-6899	0.811
1341-6979	0.767
0929-6646	1.132
1069-5869	1.034
0181-5512	0.509
0016-0032	2.724
0270-5060	0.435
1068-3666	0.409
1550-624X	1.136
0022-1236	1.082
1756-4646	2.446
0956-7968	0.878
2090-8997	0.667
0164-0313	0.517
0815-9319	2.865
0944-1174	4.16
1841-8724	1.811
1091-255X	2.826
0022-1260	0.984
0884-8734	2.83
0022-1295	3.841
1345-2630	0.689
0022-1317	3.363
1099-498X	2.483
0022-1333	1.086
1059-7700	1.77
1673-8527	1.883
0022-1325	0.488
0375-6742	1.44
0949-7714	2.414
0264-3707	2.007
1009-637X	0.832
0022-1376	2.687
0016-7622	0.596
0016-7649	3.195
1050-6926	0.761
1941-4889	0.812
0393-0440	0.818
1742-2132	0.634
0148-0227	3.021
1802-6222	1.279
1090-0241	1.017
1879-4068	1
0891-9887	3.067
1079-5006	4.598
1079-5014	2.615
0098-9134	0.783
0022-1430	2.301
1057-0829	1.776
0925-5001	1.196
0364-9024	0.524
0380-1330	1.521
0957-3720	0.284
1570-7873	1.31
1433-5883	0.432
0731-5090	0.941
0368-2315	0.419
2005-0380	1.489
0363-5023	1.354
1753-1934	1.171
0894-1130	1.556
1341-7649	0.655
0304-3894	4.173
0885-9701	3.333
1129-2369	2.427
0167-6296	2.341
0361-6878	0.873
1606-0997	0.954
1344-9702	0.805
1053-2498	4.332
0966-8519	0.811
0022-1481	1.83
0022-149X	1.38
1756-8722	3.99
1868-6974	2.099
0168-8278	9.264
0022-1503	2.799
0022-1511	1.077
0022-152X	1.22
1381-1231	1.262
1126-6708	5.831
0021-8286	0.238
0022-5010	0.628
0022-5045	0.714
0964-704X	0.425
0022-1554	2.725
0147-8885	0.105
1512-2891	0.389
0270-5214	0.061
1462-0316	0.637
0195-6701	3.393
1553-5592	1.396
1522-2179	0.382
1672-0733	0.385
0047-2484	3.638
1434-5161	2.57
0950-9240	2.802
1640-5544	0.329
0890-3344	1.15
0952-3871	1.738
0733-9429	1.429
0022-1686	1.067
1570-6443	1
1464-7141	1.048
0022-1694	2.656
1084-0699	1.024
0042-790X	0.34
1525-755X	3.052
1070-9428	0.531
0219-8916	0.796
0263-6352	4.021
0046-9750	0.66
1755-9278	0.109
1698-6180	0.643
1062-3701	0.93
1532-1819	0.689
0022-1767	5.788
0022-1759	2.203
1524-9557	3.267
1547-691X	1.439
0923-0750	1.886
1088-1980	2.085
1226-086X	1.977
1547-5816	0.661
1367-5435	2.735
1528-0837	0.769
0019-4522	0.359
0255-660X	0.285
1029-242X	0.726
0165-5515	1.299
1016-2364	0.175
0268-3962	2.321
1341-321X	1.796
1972-2680	1.191
0022-1899	6.41
0163-4453	4.126
1476-9255	2.263
1866-6892	0.738
1001-9014	0.301
1076-0342	0.654
0141-8955	3.577
1662-811X	4.209
0162-0134	3.354
1000-324X	0.445
1574-1443	1.452
0892-7553	0.963
1366-638X	1.688
0022-1910	2.236
1536-2442	0.947
1474-7480	1.022
1748-0221	1.869
1308-7649	0.136
1758-2652	3.256
0300-0605	0.896
1355-6177	2.759
1151-0285	1.022
1550-2783	1.643
0219-6352	0.761
1672-9072	2.534
0897-3962	1.188
1045-389X	1.953
1064-1246	0.556
0925-9902	0.618
0956-5515	0.859
0921-0296	0.829
1547-2450	0.714
1079-9907	3.063
0954-6820	5.483
1607-9264	0.508
1356-1820	1.116
1383-875X	1.166
0896-4327	1.185
1042-3931	1.841
0928-0219	0.432
0022-2011	2.064
1018-9068	2.269
1087-0024	3.733
0022-202X	6.314
1081-5589	1.964
0894-1939	1.091
1735-207X	1.689
1006-706X	0.213
0733-9437	0.941
0021-4876	0.273
1346-8804	0.541
1341-027X	0.173
1882-3351	0.878
0915-1168	0.009
1865-2433	0.75
0022-8567	0.493
0218-2165	0.453
2005-3673	0.352
1225-4614	0.615
1738-8228	1.067
0304-9914	0.223
1975-8456	0.076
1011-8934	0.993
2005-3711	0.604
0374-4884	0.447
1738-2203	0.365
1226-3192	0.465
2233-7903	0.118
0362-4803	0.913
1092-6429	1.4
0022-2151	0.6
1042-346X	0.407
1880-0688	0.556
1073-1105	1.215
0024-0966	0.267
0741-5400	4.992
0949-5932	0.296
0733-8724	2.784
1129-5767	1.207
0022-2275	5.559
0898-2104	1.707
1082-6076	0.706
1567-8326	0.506
0955-792X	0.611
0024-6107	0.789
0950-4230	0.913
0263-0923	0.214
1089-2591	1.069
0022-2291	1.188
0022-2313	2.102
1532-4435	2.561
1060-1325	0.887
0022-2348	0.739
1226-1750	0.659
0304-8853	1.78
1090-7807	2.138
1053-1807	2.698
0398-0499	0.543
1064-7554	1.952
0022-2372	1.614
1083-3021	6.741
1083-4087	2.25
0742-597X	0.787
0742-1222	1.423
0161-4754	1.358
1087-1357	0.727
0278-6125	0.639
1744-5647	0.296
0025-3154	1
1476-1548	0.08
0022-2402	0.766
0948-4280	0.547
1023-2796	0.483
0924-7963	2.126
1076-5174	3.268
0959-9428	5.968
0899-1561	0.733
1438-4957	0.717
1059-9495	0.855
0924-0136	1.783
0884-2914	1.434
0022-2461	2.015
1005-0302	0.738
0957-4522	1.076
0957-4530	2.316
1476-7058	1.495
0022-247X	1.001
0303-6812	2.963
0259-9791	1.303
0304-4068	0.275
1422-6928	0.768
0924-9907	1.391
1846-579X	0.336
0023-608X	0.452
0219-0613	0.5
1745-9737	0.19
0022-2488	1.291
1812-9471	0.163
0022-2496	1.699
0021-7824	1.295
1340-5705	0.2
0025-5645	0.63
0022-250X	0.68
1727-7191	0.325
1751-6161	2.814
1050-0472	1.017
1559-3959	0.675
0219-5194	0.468
0022-5096	2.806
1942-4302	1.062
1738-494X	0.448
1452-8258	0.61
1609-0985	0.731
0022-2623	5.248
1932-6181	0.6
0022-2585	1.762
0306-6800	1.363
1096-620X	1.408
0022-2593	6.365
1754-9477	0.868
1438-8871	4.409
0022-2615	2.502
0047-2565	1.301
0969-1413	1.691
1065-1438	0.18
0148-5598	1.132
1346-4523	0.333
0146-6615	2.82
0749-596X	2.733
0022-2631	1.808
0376-7388	3.85
1875-6867	0.484
0263-4929	2.99
0026-1165	1.233
1870-249X	0.413
1932-5150	0.995
1225-8873	1.095
1017-7825	1.381
1684-1182	0.987
0167-7012	2.086
1057-7157	2.098
0265-2048	1.553
0960-1317	2.105
0262-821X	0.759
0022-2720	1.631
1526-9523	1.163
1450-5339	1.317
1062-7391	0.189
1345-6296	0.607
1553-4650	1.738
1930-5311	0.942
0950-0340	1.17
0022-2836	4.001
1381-1169	2.947
1381-1177	2.735
1674-2788	7.667
0022-2828	5.166
1525-1578	3.576
0952-5041	3.485
0022-2844	2.274
1093-3263	2.184
1567-2379	1.484
0167-7322	1.58
0946-2716	4.668
1464-1801	1.953
1610-2940	1.797
0895-8696	2.504
0952-3499	3.31
0022-2852	1.512
0166-1280	1.437
0022-2860	1.634
0260-1230	1.227
0362-2525	1.539
0022-2895	1.638
1672-6316	1
1542-3980	0.26
0047-259X	0.879
1046-0756	0.5
0142-4319	1.981
1108-7161	2
1058-2452	0.347
1156-5233	0.725
0887-3593	2.8
1662-5250	0.63
1555-130X	0.556
1687-4110	1.376
1388-0764	3.287
1934-2608	1.57
1533-4880	1.563
1617-1381	1.864
1544-0478	0.25
1003-9953	1.348
0022-2933	0.953
1340-3443	1.389
0163-3864	3.128
0027-8874	13.757
1540-1405	4.409
0027-9684	1.164
1391-4588	0.232
0373-4633	0.613
0967-0335	1.012
0022-300X	0.522
0028-2715	0.197
1121-8428	1.654
0022-3018	1.682
1084-8045	1.065
1064-7570	0.452
1741-2560	3.837
0300-9564	2.73
0303-6995	1.071
0167-594X	3.214
1070-8022	1.448
0022-3042	4.061
1866-1947	3.062
0953-8194	3.138
1743-0003	3.264
0167-7063	2.417
1051-2284	1.509
1557-1890	4.574
0165-5728	2.959
1742-2094	3.827
1759-8478	0.923
0340-5354	3.473
0022-3050	4.764
0022-510X	2.353
1302-1664	0.058
0911-6044	1.965
0022-3069	4.258
0022-3077	3.316
0895-0172	2.505
1748-6645	1.742
0150-9861	1.213
0270-6474	7.115
0165-0270	1.98
0888-0395	0.81
0360-4012	2.738
0022-3085	2.965
0898-4921	2.233
0390-5616	0.4
1933-0707	1.533
1547-5654	1.534
0897-7151	3.654
1355-0284	2.31
1480-2422	0.533
0929-8215	0.481
0022-3093	1.537
0340-0204	1.024
0377-0257	1.675
1661-6952	0.825
0195-9298	1.167
1345-4773	0.933
1402-9251	0.543
0218-8635	0.379
0938-8974	1.149
1048-5252	0.455
1071-3581	2.668
0022-3115	2.052
0161-5505	6.381
0022-3131	0.707
0022-314X	0.559
1570-2820	0.533
0002-0443	1.419
1057-3631	1.193
0148-4834	0.855
0966-0429	1.181
1682-3141	0.688
1527-6546	1.49
0022-3166	3.916
0955-2863	3.891
1499-4046	1.692
1279-7707	2.686
0301-4800	1.199
1661-6499	1.143
0144-3615	0.542
1341-8076	0.942
1545-9624	1.189
1076-2752	2.062
1341-9145	1.55
0916-8370	1.232
1080-7683	1.509
0282-423X	0.328
0892-7219	0.427
1511-2780	0.237
1345-8957	1.417
0272-6963	4.382
1755-876X	0.789
0160-5682	0.971
0379-4024	0.681
1464-4258	1.924
1943-0620	1.872
1536-5379	1.079
1084-7529	1.562
0740-3224	2.185
1226-4776	1.09
1070-9762	0.288
2040-8978	1.573
0022-3239	1.062
1454-4164	0.457
0160-6972	1.527
0278-2391	1.64
0904-2512	1.628
0305-182X	1.529
0022-3263	4.45
1091-9392	0.344
0022-328X	2.384
0021-8375	1.636
1434-5293	0.859
1064-6655	2.588
0736-0266	2.811
0949-2658	0.843
0190-6011	3
0890-5339	2.135
1916-0216	0.715
1757-2215	2.571
1842-2403	0.435
1034-4810	1.281
1526-5900	4.926
0885-3924	2.503
0921-2728	1.898
0022-3360	1.148
0825-8597	0.931
1096-6218	1.849
0743-7315	0.859
0022-3395	1.405
0022-3417	6.318
1077-4114	1.159
0191-3913	0.626
0021-7557	1.013
1083-3188	1.539
0334-018X	0.875
0277-2116	2.298
0891-5245	1.661
1043-4542	0.701
1060-152X	0.467
0271-6798	1.156
0022-3468	1.45
1477-5131	1.379
0022-3476	4.115
1075-2617	1.799
0887-3828	0.45
0300-5577	1.702
0893-2190	1.364
0743-8346	1.801
0022-3484	1.686
0022-3492	2.602
1085-9489	2.8
1612-4758	1.509
1348-589X	0.635
0022-3530	4.059
0141-6421	0.86
0920-4105	0.869
1872-5120	0.789
1482-1826	1.646
0022-3573	2.175
0022-3549	3.055
0731-7085	2.967
1567-567X	2.062
0022-3565	3.828
1347-8613	2.082
1547-7037	0.619
1010-6030	2.421
1011-1344	2.814
1389-5567	10.36
0914-9244	0.904
0022-3646	2.071
1751-8113	1.564
0953-4075	1.875
1089-5639	2.946
1520-6106	3.696
1932-7447	4.805
1948-7185	6.213
0047-2689	3.172
0022-3697	1.632
0022-3727	2.544
0954-3899	4.178
0022-3670	2.345
0894-3230	1.963
0031-9015	2.364
0915-5287	0.292
0953-8984	2.546
1138-7548	1.711
0867-5910	2.267
1880-6546	1.606
0022-3751	4.718
0928-4257	1.306
1836-9553	1.917
0931-1785	0.791
0742-3098	5.794
0142-7873	2.079
0971-7811	0.523
1226-9239	1.068
1861-3829	0.489
1752-9921	1.907
0721-7595	2.859
1742-9145	0.641
0190-4167	0.641
1436-8730	1.596
1125-4653	0.912
0176-1617	2.791
1936-5209	0.726
0918-9440	1.746
0022-3778	0.944
8756-0879	0.722
1748-6815	1.494
2000-656X	0.017
0334-6447	0.397
1566-2543	1.349
0973-8622	0.319
1022-9760	1.733
0887-624X	3.919
0887-6266	1.531
1380-2224	1.238
1091-028X	0.516
1088-4246	1.405
0022-3859	1.263
1346-7395	1.074
1598-2092	0.842
0378-7753	4.951
0094-9930	0.516
0959-1524	1.696
0737-6782	2.109
1052-3928	0.34
8755-7223	0.888
0748-4658	0.761
0022-3913	1.324
1059-941X	1.009
1535-3893	5.113
1874-3919	4.878
1351-0126	0.799
1180-4882	5.342
1527-4160	2.156
0022-3956	4.664
0269-8811	3.036
0269-8803	1.536
0279-3695	0.48
0167-482X	1.389
0022-3999	3.296
0022-4006	1.186
0197-5897	2.113
1741-3842	2.063
0826-6220	0.26
0022-4049	0.567
0973-7510	0.065
0022-4065	1.564
0022-4073	3.193
0267-8179	2.308
1742-5689	4.402
0964-1998	2.11
1369-7412	3.645
0035-9254	0.828
0449-3060	1.683
0236-5731	1.52
0221-0363	0.416
0952-4746	1.388
0377-0486	3.087
1060-3999	0.585
0892-1016	0.783
1002-0721	0.901
1861-8200	1.02
1079-9893	1.588
0743-684X	1.432
1081-597X	2.541
1650-1977	2.049
0748-7711	1.779
0075-4102	1.042
0731-6844	0.727
1051-2276	1.57
1941-7012	1.214
1470-3203	2.439
0916-8818	1.459
0165-0378	2.966
0024-7758	0.688
1735-1995	0.457
1044-677X	1.088
1443-458X	0.105
1544-8053	0.508
0148-6055	2.978
0315-162X	3.695
0141-0768	1.411
0303-6758	1.933
1511-1768	0.297
0890-765X	1.429
1071-2836	0.746
0038-223X	0.182
1021-2019	0.182
0038-2809	0.35
0895-9811	1.744
1099-6362	0.561
1059-8405	0.913
1094-6136	1.051
0022-4391	1.337
0885-7474	1.557
1059-0145	0.865
0022-5142	1.436
0022-4456	0.587
1440-2440	3.034
1385-1101	2.598
1527-1404	2.331
0963-0651	0.318
1383-4649	1.326
1598-1657	0.52
0887-8250	1.597
1615-9306	2.733
0352-5139	0.879
1743-6095	3.552
0730-8000	0.793
0022-4502	0.636
1058-2746	2.747
1939-8018	0.672
0962-1105	3.157
0022-4510	1
1071-0922	1.017
0144-0322	0.436
1532-060X	0.844
0718-9508	0.661
1439-0108	1.863
0022-4561	1.265
0199-6231	0.846
0928-0707	1.632
0022-4596	2.159
1432-8488	2.131
0095-9782	1.415
0022-460X	1.588
0971-1600	0
0022-4650	0.557
1539-0136	0.833
1092-4388	1.875
1079-0268	2.111
1536-0652	1.503
0895-2779	2.658
0888-4773	0.814
0022-4707	0.847
1056-6716	1.072
0264-0414	1.931
1303-2968	0.754
0094-9655	0.497
1742-5468	1.727
0022-4715	1.397
0378-3758	0.716
1548-7660	4.01
0960-0760	3.053
0022-474X	1.414
0309-3247	1.085
0963-8687	1.457
1064-8011	1.831
1047-8477	3.406
0022-4766	0.586
0733-9445	0.955
0191-8141	1.556
1937-1888	2.251
1741-5993	1.009
0920-8542	0.578
1557-1939	0.65
0896-8446	2.86
1063-4576	0.785
1027-4510	0.343
1097-3958	1.545
1931-7204	1.376
0022-4790	2.1
0022-4804	2.247
0733-9453	1
1044-0046	0.673
1537-209X	0.69
0747-7171	0.707
0022-4812	0.562
1527-5256	0.848
0037-9980	0.546
0909-0495	2.726
1383-7621	0.444
1004-4132	0.276
1674-4918	1.596
1477-2019	3
1009-6124	0.373
1004-3756	0.429
0164-1212	0.836
1876-1070	2.11
0273-5024	1.021
1357-633X	1.207
0022-4898	1
0090-3973	0.349
0040-5000	0.514
0022-4901	0.821
1429-2955	0.283
0022-5193	2.208
0219-6336	0.561
0894-9840	0.681
1388-6150	1.604
0306-4565	1.373
1003-2169	0.31
1880-5566	0.176
1059-9630	1.812
0149-5739	0.805
0887-8722	0.739
0892-7057	0.81
0022-5223	3.406
0883-5993	0.983
1556-0864	3.661
1538-7933	5.731
0929-5305	1.476
0143-9782	0.761
1932-6254	3.278
1753-8416	0.868
1793-5253	0.659
1095-5674	0.612
1528-7394	1.83
1093-7404	4.725
0914-9198	0.478
0388-1350	1.522
0946-672X	1.683
0255-2922	0.296
1043-6596	0.933
1479-5876	3.474
0733-947X	0.62
0022-5282	2.478
1195-1982	1.748
0742-4787	1.196
0266-4674	1.401
0128-1283	0.467
1006-8775	0.313
0142-6338	1.388
0889-504X	0.542
1468-5248	0.989
0278-4297	1.245
0948-695X	0.398
1099-3460	2.13
0733-9488	1.032
0022-5347	3.746
0734-2101	1.253
1071-1023	1.341
1129-7298	1.091
1051-0443	2.075
1018-1172	2.651
0741-5214	3.21
0972-9062	1.177
1081-1710	0.885
1100-9233	2.77
1678-9199	0.429
1661-5751	0.628
0272-4634	2.214
0957-4271	1.35
0898-7564	0.308
1040-6387	1.214
1479-3261	2.038
0891-6640	1.992
0748-321X	0.573
0916-7250	0.851
0140-7783	1.181
1229-845X	1.161
1048-9002	1.022
1077-5463	1
1392-8716	0.346
1083-5601	0.878
1352-0504	4.088
0022-538X	5.402
0166-0934	2.011
1047-3203	1.122
1878-7886	0.571
1534-7362	3.376
1045-926X	0.481
1343-8875	0.435
0892-1997	1.39
0377-0273	1.978
0742-0463	0.323
1063-455X	0.205
2040-2244	2.167
1477-8920	1.367
0733-9496	1.171
0003-7214	0.935
0733-950X	0.794
1540-9589	0.156
1570-8268	1.302
0090-3558	1.079
0022-541X	1.522
0167-6105	1.119
1540-9996	1.569
0277-3813	1.26
1435-0211	0.958
0893-8849	0.708
1071-5754	1.142
1000-2413	0.354
0895-3996	1.111
1673-565X	0.408
1673-1581	1.099
1042-7260	0.381
0952-8369	2.043
0947-5745	1.95
1936-878X	5.431
1936-8798	6.8
1525-4135	4.425
1535-5535	1.42
0098-7484	30.026
1525-3961	2.837
0021-3551	0.495
0003-1488	1.791
1780-2393	0.148
1022-386X	0.342
1076-1608	1.364
1547-0083	0.051
0021-3640	1.352
0884-2175	1.035
1297-319X	2.274
0449-0576	0.647
1047-4838	1.421
0933-4173	0.767
0148-6071	3.285
0021-4914	0.881
0021-4922	1.058
0368-2811	1.783
0916-7005	0.372
1344-6304	1.491
0289-2316	0.615
1742-7932	0.2
0021-5155	0.924
0039-906X	0.083
1867-1071	0.646
0047-1917	0.464
1086-8089	0.975
1300-6045	0.495
0386-216X	0.372
1607-551X	0.477
1731-5530	0.135
0022-9032	0.515
0022-9040	0.204
0075-5222	0.103
0932-3902	0.2
0948-3276	0.345
1420-4096	1.464
0085-2538	6.606
0884-5913	0.361
1331-1441	0.238
0023-1584	0.638
1937-5093	0.677
0023-2076	0.119
0023-2165	0.51
1434-0275	0.14
0300-8630	1.772
1017-7833	0.26
0968-0160	1.736
0942-2056	2.209
0269-8889	0.545
0219-1377	2.225
1961-9502	1.52
0950-7051	2.422
0386-2186	0.129
0386-5991	0.322
0288-4534	0.588
1226-119X	0.493
0256-1115	0.991
1225-8563	0.269
1226-8763	0.237
1598-6535	0.629
1738-8228	1.007
2234-7518	0.662
0023-4001	1.042
1738-1843	0.158
1226-4512	0.964
1229-6929	1.538
0133-2546	0
0023-432X	0.451
1226-7988	0.377
1976-7277	0.372
1024-8684	0.059
0023-5776	0.051
0368-492X	0.24
0023-5954	0.454
2156-2261	0.343
1340-6116	0.366
0023-6772	1.209
0093-7355	0.376
1473-0197	5.67
0023-6837	3.641
0007-5027	0.359
0342-3026	0.184
0023-7213	0.229
0743-8141	0.861
0140-6736	38.278
1473-3099	17.391
1474-4422	23.462
1470-2045	22.589
1085-3278	1.402
0458-6859	0.484
0458-6859	0.37
1860-1871	0.642
0921-2973	3.061
0169-2046	2.173
1612-510X	2.216
